日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0958,虚拟电厂,1729.65,0.31,-158204704,-3.01,-66220832,-1.26,-91983872,-1.75,25490480,0.49,132714224,2.53
2023-09-04,BK0958,虚拟电厂,1723.06,1.08,16541120,0.27,-24716896,-0.41,41258016,0.68,-6473808,-0.11,-10067328,-0.17
2023-08-31,BK0958,虚拟电厂,1717.04,-0.6900000000000001,-340268288,-5.61,-132327648,-2.18,-207940640,-3.43,89284064,1.47,250984208,4.14
2023-08-29,BK0958,虚拟电厂,1707.97,4.17,102745184,1.43,103189376,1.44,-444192,-0.01,-161371168,-2.25,58625984,0.8200000000000001
2023-08-28,BK0958,虚拟电厂,1639.58,0.43,-224671344,-3.0,-69096560,-0.92,-155574784,-2.08,-11083120,-0.15,235754480,3.15
2023-08-25,BK0958,虚拟电厂,1632.62,-2.5,-224570604,-3.84,-65275868,-1.12,-159294736,-2.72,-26944816,-0.46,251515408,4.3
2023-08-24,BK0958,虚拟电厂,1674.56,-0.25,-276086960,-4.7,-127216832,-2.16,-148870128,-2.53,-5862528,-0.1,281949488,4.8
2023-08-23,BK0958,虚拟电厂,1678.78,-2.11,-108976471,-2.1,-50887079,-0.98,-58089392,-1.12,6146128,0.12,102830352,1.98
2023-08-21,BK0958,虚拟电厂,1690.56,-1.35,-336661699,-7.5,-89423651,-1.99,-247238048,-5.51,126222592,2.81,210439104,4.69
2023-08-18,BK0958,虚拟电厂,1713.72,-1.45,-230706851,-4.75,-61051715,-1.26,-169655136,-3.49,29176656,0.6000000000000001,201530192,4.15
2023-08-16,BK0958,虚拟电厂,1709.55,-1.94,-367537465,-8.47,-69247865,-1.6,-298289600,-6.87,26446400,0.61,341091056,7.86
2023-08-15,BK0958,虚拟电厂,1743.46,-1.57,-353584241,-7.68,-99739361,-2.17,-253844880,-5.51,16637984,0.36,336946240,7.32
2023-08-14,BK0958,虚拟电厂,1771.2,0.99,-149606160,-2.77,-13679728,-0.25,-135926432,-2.52,-28479104,-0.53,178085280,3.3
2023-08-11,BK0958,虚拟电厂,1753.86,-2.14,-538749473,-10.53,-138651393,-2.71,-400098080,-7.82,-26319744,-0.51,565069232,11.05
2023-08-10,BK0958,虚拟电厂,1792.17,0.36,-183429184,-3.98,-74294912,-1.61,-109134272,-2.37,-33235456,-0.72,216664640,4.7
2023-08-09,BK0958,虚拟电厂,1785.68,-0.93,-321383334,-6.8100000000000005,-117514806,-2.49,-203868528,-4.32,-98401984,-2.08,419785328,8.89
2023-08-08,BK0958,虚拟电厂,1802.4,-1.12,-573017200,-9.99,-197710320,-3.45,-375306880,-6.54,47087456,0.8200000000000001,525929744,9.17
2023-08-07,BK0958,虚拟电厂,1822.89,-0.05,-275694704,-4.96,-73479344,-1.32,-202215360,-3.64,-78139248,-1.41,353833952,6.37
2023-08-04,BK0958,虚拟电厂,1823.85,1.24,-75957200,-1.07,17189824,0.24,-93147024,-1.32,-6021872,-0.09,81979056,1.16
2023-08-03,BK0958,虚拟电厂,1801.59,0.11,735296,0.01,57648000,1.05,-56912704,-1.03,16435360,0.30000000000000004,-17170656,-0.31
2023-08-02,BK0958,虚拟电厂,1799.63,-0.53,-314546738,-6.3,-118963506,-2.38,-195583232,-3.92,28785328,0.58,285761408,5.73
2023-08-01,BK0958,虚拟电厂,1809.15,-0.04,-155406240,-2.27,-91782864,-1.34,-63623376,-0.93,-5022864,-0.07,160429104,2.35
2023-07-31,BK0958,虚拟电厂,1809.93,0.67,-87816304,-1.26,-57924432,-0.8300000000000001,-29891872,-0.43,53166528,0.77,34649776,0.5
2023-07-28,BK0958,虚拟电厂,1797.86,0.26,-404189088,-6.45,-54108160,-0.86,-350080928,-5.59,-86613312,-1.38,490802400,7.84
2023-07-27,BK0958,虚拟电厂,1793.22,-0.8,-488671360,-7.56,-145034944,-2.24,-343636416,-5.32,116831232,1.81,371840144,5.75
2023-07-26,BK0958,虚拟电厂,1807.67,-1.53,-424348400,-6.46,-172278608,-2.62,-252069792,-3.84,33733072,0.51,390615328,5.95
2023-07-24,BK0958,虚拟电厂,1827.14,-0.87,-360780160,-5.61,-107312928,-1.67,-253467232,-3.94,-67595008,-1.05,428375168,6.66
2023-07-21,BK0958,虚拟电厂,1843.11,-2.72,-839925386,-11.05,-321293866,-4.23,-518631520,-6.82,18140224,0.24,821785152,10.81
2023-07-20,BK0958,虚拟电厂,1894.72,-2.2,-734562944,-8.37,-349645216,-3.98,-384917728,-4.39,66312816,0.76,668250144,7.61
