日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK0937,蚂蚁概念,1072.01,0.15,-1041813104,-5.62,-700064368,-3.78,-341748736,-1.84,95222784,0.51,946590208,5.11
2023-08-09,BK0937,蚂蚁概念,1070.38,-0.4,-1241361248,-6.06,-740253536,-3.62,-501107712,-2.45,204790272,1.0,1036571136,5.06
2023-08-08,BK0937,蚂蚁概念,1074.69,-0.63,-1025549296,-4.55,-785994480,-3.49,-239554816,-1.06,-23709440,-0.11,1049258752,4.66
2023-08-07,BK0937,蚂蚁概念,1081.52,-0.64,-1368173088,-4.85,-934193696,-3.31,-433979392,-1.54,-441780992,-1.57,1809954304,6.41
2023-08-04,BK0937,蚂蚁概念,1088.54,2.21,445616128,1.04,645871104,1.5,-200254976,-0.47,169125632,0.39,-614741504,-1.43
2023-08-03,BK0937,蚂蚁概念,1065.03,0.87,315141136,1.17,240016912,0.89,75124224,0.28,-22348800,-0.08,-292792320,-1.08
2023-08-02,BK0937,蚂蚁概念,1055.83,0.33,-444294432,-1.87,200428768,0.84,-644723200,-2.72,230603264,0.97,213691136,0.9
2023-08-01,BK0937,蚂蚁概念,1052.33,-0.24,-669098208,-2.89,-249207776,-1.08,-419890432,-1.81,-22851072,-0.1,691949568,2.99
2023-07-31,BK0937,蚂蚁概念,1054.9,0.49,-258396416,-0.76,-225483776,-0.66,-32912640,-0.1,51236864,0.15,207159808,0.61
2023-07-28,BK0937,蚂蚁概念,1049.77,2.02,1640969200,5.35,891888624,2.91,749080576,2.44,-812944384,-2.65,-828024832,-2.7
2023-07-27,BK0937,蚂蚁概念,1028.97,-1.03,-507850288,-2.19,-271705648,-1.17,-236144640,-1.02,-320792320,-1.38,828642560,3.58
2023-07-26,BK0937,蚂蚁概念,1039.67,-0.8,-1074934496,-5.14,-814366944,-3.9,-260567552,-1.25,170650368,0.8200000000000001,904284160,4.33
2023-07-24,BK0937,蚂蚁概念,1024.96,0.58,-205283040,-1.19,-374949104,-2.17,169666064,0.98,-3445248,-0.02,208728320,1.21
2023-07-21,BK0937,蚂蚁概念,1019.0,-0.25,-258093328,-1.55,-3512800,-0.02,-254580528,-1.53,-85885952,-0.52,343979264,2.06
