日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0934,蝗虫防治,1456.06,0.15,-56510861,-5.71,-20755922,-2.1,-35754939,-3.61,4427568,0.45,52083296,5.26
2023-07-27,BK0934,蝗虫防治,1453.84,-0.8200000000000001,-118723067,-10.74,-53381437,-4.83,-65341630,-5.91,-6792208,-0.61,125515296,11.35
2023-07-26,BK0934,蝗虫防治,1465.93,0.73,-46819776,-4.51,-18497389,-1.78,-28322387,-2.73,10811568,1.04,36008208,3.47
2023-07-24,BK0934,蝗虫防治,1449.91,-1.05,-137295185,-11.74,-55399272,-4.74,-81895913,-7.0,17524000,1.5,119771184,10.24
2023-07-21,BK0934,蝗虫防治,1465.28,0.54,33392235,2.54,25060643,1.91,8331592,0.63,-39245024,-2.98,5852784,0.45
2023-07-20,BK0934,蝗虫防治,1457.39,-0.87,-68610926,-5.38,-12400719,-0.97,-56210207,-4.41,-29823008,-2.34,98433936,7.72
2023-07-19,BK0934,蝗虫防治,1470.23,-0.53,-100350469,-7.43,-79639279,-5.89,-20711190,-1.53,-5229728,-0.39,105580192,7.81
2023-07-17,BK0934,蝗虫防治,1458.8,-0.38,-156663539,-11.06,-53601817,-3.79,-103061722,-7.28,9089664,0.64,147573888,10.42
2023-07-14,BK0934,蝗虫防治,1464.4,0.73,14701863,1.11,34504135,2.61,-19802272,-1.5,-41105392,-3.11,26403536,2.0
2023-07-13,BK0934,蝗虫防治,1453.82,0.91,-34671137,-3.63,743008,0.08,-35414145,-3.71,5340336,0.56,29330800,3.07
2023-07-12,BK0934,蝗虫防治,1440.72,0.02,-11317184,-1.09,1536695,0.15,-12853879,-1.24,2716320,0.26,8600864,0.8300000000000001
2023-07-11,BK0934,蝗虫防治,1440.39,0.27,-82876853,-9.58,-64478619,-7.45,-18398234,-2.13,18806999,2.17,64069872,7.41
2023-07-10,BK0934,蝗虫防治,1436.5,0.48,-27951798,-3.05,-17115708,-1.87,-10836090,-1.18,7210992,0.79,20740800,2.26
2023-07-07,BK0934,蝗虫防治,1429.57,0.34,-40943574,-3.6,-16408805,-1.44,-24534769,-2.16,-6103472,-0.54,47047040,4.14
2023-07-06,BK0934,蝗虫防治,1424.77,-0.41,-66850695,-7.05,-10933009,-1.15,-55917686,-5.9,13828144,1.46,53022560,5.59
2023-07-05,BK0934,蝗虫防治,1430.6,0.35000000000000003,-27963324,-3.05,-21058115,-2.3,-6905209,-0.75,-2342256,-0.26,30305584,3.31
2023-07-04,BK0934,蝗虫防治,1425.63,-0.16,-48635267,-6.36,-27356561,-3.58,-21278706,-2.78,-9749726,-1.27,58384992,7.63
2023-07-03,BK0934,蝗虫防治,1427.94,1.09,-27445693,-2.5700000000000003,-15951571,-1.49,-11494122,-1.07,-32334432,-3.02,59780128,5.59
2023-06-30,BK0934,蝗虫防治,1412.49,1.5,-18380532,-1.78,-13394865,-1.29,-4985667,-0.48,14061168,1.36,4319376,0.42
2023-06-29,BK0934,蝗虫防治,1391.58,0.28,-43465871,-5.92,-18144649,-2.47,-25321222,-3.45,-12184794,-1.66,55650672,7.58
2023-06-28,BK0934,蝗虫防治,1387.68,-0.4,-112538939,-11.2,-36853076,-3.67,-75685863,-7.53,36296208,3.61,76242736,7.59
2023-06-27,BK0934,蝗虫防治,1393.28,2.56,-35705830,-3.32,-12831344,-1.19,-22874486,-2.13,-7998320,-0.74,43704160,4.06
2023-06-26,BK0934,蝗虫防治,1358.46,-1.21,-71441896,-6.14,-21801661,-1.88,-49640235,-4.27,6022448,0.52,65419456,5.63
2023-06-21,BK0934,蝗虫防治,1375.09,-0.81,-55191333,-5.49,-23138291,-2.3,-32053042,-3.19,27347376,2.72,27843952,2.77
2023-06-20,BK0934,蝗虫防治,1386.35,-0.26,-43425519,-3.85,-24295927,-2.15,-19129592,-1.69,8622656,0.76,34802864,3.08
2023-06-19,BK0934,蝗虫防治,1390.01,-0.04,-898266,-0.07,-22078122,-1.65,21179856,1.59,57019312,4.27,-56121072,-4.2
2023-06-16,BK0934,蝗虫防治,1390.53,-0.09,-36956701,-4.33,-12294706,-1.44,-24661995,-2.89,9774704,1.14,27182000,3.18
