日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK1122,血氧仪,949.18,0.06,34389868,3.05,27181608,2.41,7208260,0.64,-10341056,-0.92,-24127904,-2.14
2023-07-06,BK1122,血氧仪,948.57,-0.94,-112080306,-8.49,-47472929,-3.6,-64607377,-4.89,-10378368,-0.79,122196800,9.26
2023-07-05,BK1122,血氧仪,957.54,-0.59,-70321955,-6.43,-37476770,-3.43,-32845185,-3.0,-18002672,-1.65,88205952,8.07
2023-07-04,BK1122,血氧仪,963.24,-0.51,-51610196,-3.63,-28786452,-2.02,-22823744,-1.6,-37686304,-2.65,89471136,6.29
2023-07-03,BK1122,血氧仪,968.17,0.04,-10311483,-0.7000000000000001,18459609,1.26,-28771092,-1.96,11412992,0.78,-1567952,-0.11
2023-06-30,BK1122,血氧仪,967.74,0.66,-40961042,-2.58,-18930098,-1.19,-22030944,-1.39,-29592256,-1.86,71060256,4.47
2023-06-29,BK1122,血氧仪,961.37,2.5,79815310,6.37,55813451,4.46,24001859,1.92,-27021920,-2.16,-52761920,-4.21
2023-06-28,BK1122,血氧仪,937.91,-0.65,-15551601,-1.32,9219227,0.78,-24770828,-2.1,-27551392,-2.34,42537920,3.61
2023-06-27,BK1122,血氧仪,944.03,2.2,38233938,2.38,40396290,2.51,-2162352,-0.13,-22243072,-1.38,-16354896,-1.02
2023-06-26,BK1122,血氧仪,923.68,-1.89,-19200671,-1.45,13419661,1.02,-32620332,-2.47,-73543520,-5.5600000000000005,92377568,6.99
2023-06-21,BK1122,血氧仪,941.43,-1.2,-34136880,-2.98,10245170,0.89,-44382050,-3.87,-8553760,-0.75,42374256,3.7
2023-06-20,BK1122,血氧仪,952.84,-0.52,-51695428,-4.85,-1854625,-0.17,-49840803,-4.67,-12912000,-1.21,64133408,6.01
2023-06-19,BK1122,血氧仪,957.85,-0.56,-41549035,-3.01,-4135429,-0.30000000000000004,-37413606,-2.71,99317712,7.18,-58682752,-4.24
2023-06-16,BK1122,血氧仪,963.23,0.29,-32745326,-2.9,-40498009,-3.59,7752683,0.6900000000000001,14511296,1.29,18103504,1.6
