日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-13,BK0945,装配建筑,948.93,1.07,164863664,1.82,189308192,2.09,-24444528,-0.27,-248729168,-2.75,83778528,0.93
2023-07-12,BK0945,装配建筑,938.9,-1.32,-1177738432,-12.18,-642367696,-6.64,-535370736,-5.54,159751568,1.65,1017500208,10.52
2023-07-11,BK0945,装配建筑,951.46,0.32,-553665280,-6.66,-299260304,-3.6,-254404976,-3.06,121602224,1.46,431566032,5.19
2023-07-10,BK0945,装配建筑,948.39,0.43,42377584,0.53,11463424,0.14,30914160,0.38,54493312,0.68,-97488592,-1.21
2023-07-07,BK0945,装配建筑,944.37,-0.23,-328566192,-3.98,-182547424,-2.21,-146018768,-1.77,58919376,0.71,269055312,3.26
2023-07-06,BK0945,装配建筑,946.52,0.09,-25830320,-0.29,-2973552,-0.03,-22856768,-0.25,16718544,0.19,8761888,0.1
2023-07-05,BK0945,装配建筑,945.7,-0.21,-146738512,-1.58,70105904,0.75,-216844416,-2.33,208608,0.0,146277056,1.57
2023-07-04,BK0945,装配建筑,947.72,0.0,-708576832,-7.54,-419890320,-4.47,-288686512,-3.07,197894336,2.11,510168528,5.43
2023-07-03,BK0945,装配建筑,947.68,1.01,393173472,3.21,191637104,1.57,201536368,1.65,-240190848,-1.96,-153292768,-1.25
2023-06-30,BK0945,装配建筑,938.18,1.22,-262867792,-2.79,-94794512,-1.0,-168073280,-1.78,-67183984,-0.71,329976128,3.5
2023-06-29,BK0945,装配建筑,926.89,0.36,-358983616,-4.06,-376010240,-4.25,17026624,0.19,-60351008,-0.68,419521712,4.75
2023-06-28,BK0945,装配建筑,923.58,-0.41,-411436336,-3.99,-295717424,-2.87,-115718912,-1.12,-7631200,-0.07,418784592,4.06
2023-06-27,BK0945,装配建筑,927.42,3.14,1130457712,8.03,829016064,5.89,301441648,2.14,-561795712,-3.99,-568596768,-4.04
2023-06-26,BK0945,装配建筑,899.21,-2.07,-917534320,-8.22,-800470880,-7.17,-117063440,-1.05,158199744,1.42,759059040,6.8
2023-06-21,BK0945,装配建筑,918.21,-1.31,-47670112,-0.43,-44388400,-0.4,-3281712,-0.03,-124608880,-1.13,172575952,1.56
2023-06-20,BK0945,装配建筑,930.37,-1.53,-1605966016,-12.1,-916293680,-6.9,-689672336,-5.2,291531536,2.2,1314162080,9.9
2023-06-19,BK0945,装配建筑,944.85,-1.18,-2024353472,-13.03,-1290249712,-8.31,-734103760,-4.73,714775808,4.6,1308829536,8.43
2023-06-16,BK0945,装配建筑,956.18,1.18,351346624,2.21,326948688,2.06,24397936,0.15,-14656768,-0.09,-336758240,-2.12
