日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK1026,调味品概念,916.11,-0.16,-103672293,-4.16,-62113205,-2.49,-41559088,-1.67,-40370160,-1.62,144042480,5.77
2023-07-17,BK1026,调味品概念,918.83,-0.24,-125057054,-3.9,-78691950,-2.45,-46365104,-1.44,-26868432,-0.84,151925488,4.73
2023-07-14,BK1026,调味品概念,921.01,-0.18,-40452256,-1.09,-27072208,-0.73,-13380048,-0.36,-33780192,-0.91,74232448,2.01
2023-07-13,BK1026,调味品概念,922.64,0.9,69693664,1.71,32780768,0.81,36912896,0.91,-143523472,-3.53,73829808,1.81
2023-07-12,BK1026,调味品概念,914.43,-0.26,-112664971,-2.85,-48347243,-1.22,-64317728,-1.63,103842512,2.62,8822464,0.22
2023-07-11,BK1026,调味品概念,916.85,0.15,-99175676,-3.42,-11048284,-0.38,-88127392,-3.04,29345536,1.01,69830160,2.41
2023-07-10,BK1026,调味品概念,915.51,0.36,-42023857,-1.45,-32213601,-1.11,-9810256,-0.34,-30738576,-1.06,72762432,2.51
2023-07-07,BK1026,调味品概念,912.27,-0.17,-109513440,-3.77,-47185792,-1.63,-62327648,-2.15,-24514896,-0.84,134028336,4.62
2023-07-06,BK1026,调味品概念,913.81,-0.36,-174871899,-5.17,-120922747,-3.5700000000000003,-53949152,-1.59,115095392,3.4,59776496,1.77
2023-07-05,BK1026,调味品概念,917.14,-1.09,-164068663,-4.64,-137888583,-3.9,-26180080,-0.74,53617088,1.52,110451568,3.12
2023-07-04,BK1026,调味品概念,927.23,-0.03,-131872649,-3.82,-60080137,-1.74,-71792512,-2.08,-49198848,-1.42,181071488,5.24
2023-07-03,BK1026,调味品概念,927.49,0.95,25443853,0.62,24304189,0.59,1139664,0.03,19237520,0.47,-44681360,-1.09
2023-06-30,BK1026,调味品概念,918.8,2.04,-29747456,-0.75,45004688,1.13,-74752144,-1.88,6251040,0.16,23496400,0.59
2023-06-29,BK1026,调味品概念,900.43,-0.44,-30110751,-1.18,-15696431,-0.62,-14414320,-0.5700000000000001,13306144,0.52,16804608,0.66
2023-06-28,BK1026,调味品概念,904.38,1.05,68946972,2.48,69112236,2.49,-165264,-0.01,-45108416,-1.62,-23838560,-0.86
2023-06-27,BK1026,调味品概念,894.97,1.14,4975974,0.2,-30909994,-1.22,35885968,1.42,-31215648,-1.23,26239664,1.04
2023-06-26,BK1026,调味品概念,884.92,-1.72,-159546649,-5.47,-96231593,-3.3,-63315056,-2.17,-35056032,-1.2,194602688,6.67
2023-06-21,BK1026,调味品概念,900.42,-0.66,-90805821,-3.85,-68194925,-2.89,-22610896,-0.96,68152832,2.89,22652992,0.96
2023-06-20,BK1026,调味品概念,906.37,-0.74,-129606798,-5.5,-57425118,-2.44,-72181680,-3.06,67041856,2.84,62564960,2.65
2023-06-19,BK1026,调味品概念,913.1,-1.13,-279624517,-9.54,-144896725,-4.94,-134727792,-4.59,76581424,2.61,203043088,6.92
2023-06-16,BK1026,调味品概念,923.51,-0.28,-112464889,-3.37,-66129945,-1.98,-46334944,-1.39,15704672,0.47,96760224,2.9
