日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0812,贬值受益,1070.9,0.96,-602487552,-3.13,-82381120,-0.43,-520106432,-2.7,-246682112,-1.28,849342976,4.42
2023-07-27,BK0812,贬值受益,1060.72,-0.6900000000000001,-1006673600,-6.12,-360617680,-2.19,-646055920,-3.93,53297152,0.32,953283840,5.8
2023-07-26,BK0812,贬值受益,1068.14,-0.5700000000000001,-728011776,-4.0,-251203888,-1.38,-476807888,-2.62,23348992,0.13,704592896,3.88
2023-07-24,BK0812,贬值受益,1059.18,0.08,-895641648,-5.11,-404581072,-2.31,-491060576,-2.8,87260416,0.5,808414464,4.61
2023-07-21,BK0812,贬值受益,1058.38,-0.44,-637854576,-2.98,-494113648,-2.31,-143740928,-0.67,-6866176,-0.03,644523776,3.01
2023-07-20,BK0812,贬值受益,1063.09,-1.21,-1924580224,-7.97,-1676256640,-6.95,-248323584,-1.03,274159616,1.14,1650211840,6.84
2023-07-19,BK0812,贬值受益,1076.09,0.26,-325602624,-1.72,-92907072,-0.49,-232695552,-1.23,20472576,0.11,304980480,1.62
2023-07-17,BK0812,贬值受益,1068.47,0.06,-173854784,-0.85,-116214336,-0.5700000000000001,-57640448,-0.28,-57125376,-0.28,230949376,1.13
2023-07-14,BK0812,贬值受益,1067.78,-0.13,-689719024,-3.06,-845171952,-3.75,155452928,0.6900000000000001,326819072,1.45,362992128,1.61
2023-07-13,BK0812,贬值受益,1069.18,0.68,-161131584,-0.63,215834816,0.84,-376966400,-1.47,-312351232,-1.22,473423616,1.85
2023-07-12,BK0812,贬值受益,1061.96,-1.16,-899645872,-3.62,-376062384,-1.51,-523583488,-2.11,67292672,0.27,832147200,3.35
2023-07-11,BK0812,贬值受益,1074.38,0.91,198734192,1.01,537180272,2.73,-338446080,-1.72,-210889728,-1.07,12037632,0.06
2023-07-10,BK0812,贬值受益,1064.71,0.01,-509302928,-2.58,-275900560,-1.4,-233402368,-1.18,335575296,1.7000000000000002,173708032,0.88
2023-07-07,BK0812,贬值受益,1064.58,0.44,430253232,2.05,285406896,1.36,144846336,0.6900000000000001,-282803968,-1.34,-146628096,-0.7000000000000001
2023-07-06,BK0812,贬值受益,1059.95,0.01,-872946576,-5.4,-363983664,-2.25,-508962912,-3.15,116768256,0.72,756109312,4.68
2023-07-05,BK0812,贬值受益,1059.84,-0.85,-909328832,-5.11,-538784032,-3.03,-370544800,-2.08,-53792768,-0.30000000000000004,962384896,5.41
2023-07-04,BK0812,贬值受益,1068.91,0.78,-341057072,-1.6800000000000002,-2502960,-0.01,-338554112,-1.67,-25996032,-0.13,367096576,1.81
2023-07-03,BK0812,贬值受益,1060.59,0.46,109201456,0.45,54699824,0.23,54501632,0.23,-55535104,-0.23,-53599488,-0.22
2023-06-30,BK0812,贬值受益,1055.71,1.34,-320938048,-1.44,-141157952,-0.63,-179780096,-0.81,-46515712,-0.21,367132160,1.65
2023-06-29,BK0812,贬值受益,1041.74,1.38,-137023152,-0.66,161987152,0.78,-299010304,-1.44,-128506624,-0.62,265456896,1.28
2023-06-28,BK0812,贬值受益,1027.58,-0.13,-553211632,-2.74,-475473904,-2.36,-77737728,-0.39,-8827904,-0.04,562033664,2.79
2023-06-27,BK0812,贬值受益,1028.88,2.56,-275340544,-1.45,-116230096,-0.61,-159110448,-0.84,145847296,0.77,130240000,0.68
2023-06-26,BK0812,贬值受益,1003.21,-1.55,-756829232,-3.13,85919440,0.36,-842748672,-3.49,-538365184,-2.23,1295143936,5.36
2023-06-21,BK0812,贬值受益,1019.04,-1.25,-1068866496,-4.6,-377569728,-1.62,-691296768,-2.97,114446080,0.49,954580992,4.11
2023-06-20,BK0812,贬值受益,1031.9,-0.35000000000000003,-745988160,-3.3,-239174208,-1.06,-506813952,-2.24,234578432,1.04,511347968,2.26
2023-06-19,BK0812,贬值受益,1035.57,-0.4,-1081735456,-4.43,-358266912,-1.47,-723468544,-2.97,241512960,0.99,840136192,3.44
2023-06-16,BK0812,贬值受益,1039.71,0.73,-116823264,-0.49,303356704,1.26,-420179968,-1.75,-342632704,-1.43,459273472,1.91
