日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0862,超级真菌,1183.2,-0.12,6452800,0.14,-1153936,-0.02,7606736,0.16,-107631728,-2.26,101178944,2.12
2023-07-04,BK0862,超级真菌,1184.64,0.44,135767904,1.95,241135536,3.47,-105367632,-1.52,-41008144,-0.59,-94759744,-1.36
2023-07-03,BK0862,超级真菌,1179.44,0.42,-44181715,-1.56,28735853,1.02,-72917568,-2.58,26169280,0.93,18012448,0.64
2023-06-30,BK0862,超级真菌,1174.46,1.14,52522799,1.51,66629199,1.92,-14106400,-0.41,16163856,0.47,-68686672,-1.98
2023-06-29,BK0862,超级真菌,1161.17,1.4,49772347,1.62,48496427,1.58,1275920,0.04,100710032,3.28,-150482384,-4.9
2023-06-28,BK0862,超级真菌,1145.17,-0.12,-80994152,-3.12,-132173672,-5.09,51179520,1.97,48068432,1.85,32925728,1.27
2023-06-27,BK0862,超级真菌,1146.57,1.48,6202464,0.25,7445760,0.30000000000000004,-1243296,-0.05,18278816,0.73,-24481296,-0.97
2023-06-26,BK0862,超级真菌,1129.89,-1.25,-59458476,-2.29,-66183628,-2.55,6725152,0.26,41455264,1.6,18003200,0.6900000000000001
2023-06-21,BK0862,超级真菌,1144.19,-0.66,-97894102,-4.54,-67553270,-3.13,-30340832,-1.41,100167392,4.65,-2273296,-0.11
2023-06-20,BK0862,超级真菌,1151.75,-1.01,-140435255,-5.77,-122823511,-5.05,-17611744,-0.72,25568912,1.05,114866352,4.72
2023-06-19,BK0862,超级真菌,1163.45,-0.73,-109334259,-4.05,-133084355,-4.93,23750096,0.88,123988688,4.59,-14654448,-0.54
2023-06-16,BK0862,超级真菌,1172.03,0.28,56882144,1.64,-43092880,-1.24,99975024,2.89,-27834240,-0.8,-29047920,-0.84
