日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1115,跨境电商,1085.59,-0.30000000000000004,-525065696,-4.44,-295156752,-2.5,-229908944,-1.95,-51325744,-0.43,576508896,4.88
2023-09-04,BK1115,跨境电商,1099.47,1.14,-159243424,-1.05,-48624720,-0.32,-110618704,-0.73,-188436992,-1.24,348219648,2.3
2023-08-31,BK1115,跨境电商,1073.62,-0.74,-769506768,-6.01,-410877616,-3.21,-358629152,-2.8,70024128,0.55,700035072,5.47
2023-08-29,BK1115,跨境电商,1074.0,4.0,732197056,4.45,583241408,3.55,148955648,0.91,-293077248,-1.78,-438900736,-2.67
2023-08-28,BK1115,跨境电商,1032.72,1.24,-109892304,-0.75,32236416,0.22,-142128720,-0.97,-73521408,-0.5,183145216,1.25
2023-08-25,BK1115,跨境电商,1020.09,-2.74,-1075777024,-8.56,-613909504,-4.88,-461867520,-3.67,159262544,1.27,916474112,7.29
2023-08-24,BK1115,跨境电商,1048.79,-0.14,461498640,3.07,443952016,2.96,17546624,0.12,-290967808,-1.94,-170473728,-1.14
2023-08-23,BK1115,跨境电商,1050.3,-2.06,-760906096,-6.16,-288559344,-2.34,-472346752,-3.82,82933936,0.67,677891328,5.49
2023-08-21,BK1115,跨境电商,1075.58,-0.8,-194357808,-1.72,-8724432,-0.08,-185633376,-1.64,-122017280,-1.08,316453376,2.8
2023-08-18,BK1115,跨境电商,1084.3,-1.59,-642736160,-4.78,-183517824,-1.36,-459218336,-3.41,-38293248,-0.28,680891136,5.06
2023-08-16,BK1115,跨境电商,1087.17,-0.63,-718135296,-5.91,-227438080,-1.87,-490697216,-4.04,87152272,0.72,630957696,5.2
2023-08-15,BK1115,跨境电商,1094.01,0.21,-107934512,-0.78,23970432,0.17,-131904944,-0.96,-107915776,-0.78,215743488,1.57
2023-08-14,BK1115,跨境电商,1091.74,0.98,141108064,1.23,122309664,1.07,18798400,0.16,-11496176,-0.1,-129624336,-1.13
2023-08-11,BK1115,跨境电商,1081.14,-1.41,-760663456,-7.06,-286627168,-2.66,-474036288,-4.4,-44291152,-0.41,804932560,7.47
2023-08-10,BK1115,跨境电商,1096.64,0.56,-355772400,-3.36,-88698944,-0.84,-267073456,-2.52,21649568,0.2,334115472,3.15
