日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0912,远程办公,1373.02,0.36,-554093312,-3.71,-180950672,-1.21,-373142640,-2.5,-73647360,-0.49,627740624,4.21
2023-09-04,BK0912,远程办公,1376.14,1.2,44049136,0.25,-536171856,-3.09,580220992,3.34,298369024,1.72,-342417920,-1.97
2023-08-31,BK0912,远程办公,1373.22,-0.65,-934124528,-4.98,-738810032,-3.94,-195314496,-1.04,223656192,1.19,710468096,3.79
2023-08-29,BK0912,远程办公,1340.9,4.44,229271904,1.16,-117649312,-0.59,346921216,1.75,-406998528,-2.05,177726976,0.9
2023-08-28,BK0912,远程办公,1283.86,1.04,-92024112,-0.5,48002768,0.26,-140026880,-0.76,-518639872,-2.8,610663680,3.3
2023-08-25,BK0912,远程办公,1270.69,-4.3,-1491773504,-9.09,-687974832,-4.19,-803798672,-4.9,17871360,0.11,1473902256,8.98
2023-08-24,BK0912,远程办公,1327.75,-0.5,-550527776,-3.71,-493396096,-3.33,-57131680,-0.39,-94449408,-0.64,644977232,4.35
2023-08-23,BK0912,远程办公,1334.38,-1.83,-1307039296,-7.67,-894185136,-5.24,-412854160,-2.42,-17186560,-0.1,1324226048,7.77
2023-08-21,BK0912,远程办公,1316.66,0.39,174301232,1.56,62693648,0.56,111607584,1.0,-190999136,-1.71,16697904,0.15
2023-08-18,BK0912,远程办公,1311.58,-2.99,-1494168736,-11.75,-941599248,-7.41,-552569488,-4.35,88237824,0.6900000000000001,1405930880,11.06
2023-08-16,BK0912,远程办公,1333.44,-2.67,-2052609280,-12.16,-1657810096,-9.82,-394799184,-2.34,432139776,2.56,1620469472,9.6
2023-08-15,BK0912,远程办公,1370.04,-1.79,-507356528,-3.77,-256665536,-1.91,-250690992,-1.87,-51959040,-0.39,559315536,4.16
2023-08-14,BK0912,远程办公,1395.05,2.2,656646000,4.33,321101424,2.12,335544576,2.21,-170058240,-1.12,-486587696,-3.21
2023-08-11,BK0912,远程办公,1365.01,-1.83,-910394112,-7.35,-483220752,-3.9,-427173360,-3.45,-207907552,-1.6800000000000002,1118301568,9.03
2023-08-10,BK0912,远程办公,1390.51,0.15,-623729808,-5.42,-305900688,-2.66,-317829120,-2.76,27709712,0.24,596020096,5.18
2023-08-09,BK0912,远程办公,1388.38,-0.98,-759102560,-6.22,-309571424,-2.54,-449531136,-3.69,-102755328,-0.84,861857904,7.07
2023-08-08,BK0912,远程办公,1402.18,-0.63,-757858624,-6.62,-431266000,-3.76,-326592624,-2.85,-71651920,-0.63,829510560,7.24
2023-08-07,BK0912,远程办公,1411.07,0.17,-747985296,-5.18,-459401312,-3.18,-288583984,-2.0,-65125120,-0.45,813110416,5.63
2023-08-04,BK0912,远程办公,1408.61,2.23,648869488,3.64,494232944,2.77,154636544,0.87,-334831872,-1.88,-314037504,-1.76
2023-08-03,BK0912,远程办公,1377.84,-0.55,-824562960,-6.54,-453727840,-3.6,-370835120,-2.94,55466608,0.44,769096464,6.1
2023-08-02,BK0912,远程办公,1385.45,0.71,405297440,2.98,342013568,2.51,63283872,0.47,-265745664,-1.95,-139551680,-1.03
2023-08-01,BK0912,远程办公,1375.7,-0.1,-528397664,-3.23,-348677504,-2.13,-179720160,-1.1,-130567680,-0.8,658965328,4.03
2023-07-31,BK0912,远程办公,1377.02,0.77,288786288,1.74,132306752,0.8,156479536,0.94,-192003840,-1.15,-96782592,-0.58
2023-07-28,BK0912,远程办公,1366.56,0.30000000000000004,-563496560,-4.38,-276263280,-2.15,-287233280,-2.23,-127332736,-0.99,690829232,5.37
2023-07-27,BK0912,远程办公,1362.48,-1.25,-666868720,-5.32,-233596672,-1.86,-433272048,-3.45,-45806592,-0.37,712675280,5.68
2023-07-26,BK0912,远程办公,1379.76,-2.11,-1799427344,-10.35,-1251744800,-7.2,-547682544,-3.15,202301952,1.16,1597125440,9.18
2023-07-24,BK0912,远程办公,1396.5,0.6900000000000001,-758774640,-4.3,-845360496,-4.8,86585856,0.49,401881856,2.28,356892416,2.02
2023-07-21,BK0912,远程办公,1386.95,-0.37,-141806432,-0.92,178851616,1.16,-320658048,-2.08,-267296768,-1.73,409103344,2.65
2023-07-20,BK0912,远程办公,1392.13,-2.43,-1788587568,-9.23,-1684903984,-8.69,-103683584,-0.53,232282880,1.2,1556304736,8.03
2023-07-19,BK0912,远程办公,1426.74,0.5700000000000001,-75896048,-0.39,141209872,0.72,-217105920,-1.11,-367290880,-1.88,443186688,2.27
2023-07-17,BK0912,远程办公,1445.82,0.29,-481231456,-2.47,-382429792,-1.96,-98801664,-0.51,-168963840,-0.87,650195456,3.34
2023-07-14,BK0912,远程办公,1441.7,2.28,57281792,0.21,51488000,0.19,5793792,0.02,-307375360,-1.13,250093568,0.92
2023-07-13,BK0912,远程办公,1409.6,1.83,-143155968,-0.59,325349632,1.34,-468505600,-1.93,-343868416,-1.42,487024384,2.01
2023-07-12,BK0912,远程办公,1384.22,-2.48,-1772906656,-7.63,-916640672,-3.95,-856265984,-3.69,21535232,0.09,1751371520,7.54
2023-07-11,BK0912,远程办公,1419.47,1.13,1749427840,7.39,1558878080,6.58,190549760,0.8,-876886784,-3.7,-872541184,-3.69
2023-07-10,BK0912,远程办公,1403.54,-0.74,-1471042496,-8.63,-1300142784,-7.63,-170899712,-1.0,260676864,1.53,1210365792,7.1
2023-07-07,BK0912,远程办公,1413.99,-1.91,-1935203920,-7.34,-1282925904,-4.86,-652278016,-2.47,201514240,0.76,1733689856,6.57
2023-07-06,BK0912,远程办公,1441.56,0.43,1780190128,8.04,1914860976,8.64,-134670848,-0.61,-1100841984,-4.97,-679348224,-3.07
2023-07-05,BK0912,远程办公,1435.32,-1.66,-1687834416,-8.55,-1024042544,-5.19,-663791872,-3.36,-59098624,-0.30000000000000004,1746933248,8.85
2023-07-04,BK0912,远程办公,1459.59,1.03,102771632,0.45,490990256,2.13,-388218624,-1.6800000000000002,-221640960,-0.96,118869504,0.51
2023-07-03,BK0912,远程办公,1444.66,-0.23,-1632791392,-6.8100000000000005,-1191144032,-4.97,-441647360,-1.84,665526784,2.78,967264512,4.03
2023-06-30,BK0912,远程办公,1448.05,0.8200000000000001,-777568080,-3.49,-545519184,-2.45,-232048896,-1.04,-23389952,-0.1,800957952,3.59
2023-06-29,BK0912,远程办公,1436.31,1.24,-1597146992,-7.18,-606994800,-2.73,-990152192,-4.45,311964416,1.4,1285182464,5.78
2023-06-28,BK0912,远程办公,1418.77,-2.46,-2041840640,-6.5600000000000005,-1173798656,-3.77,-868041984,-2.79,408834304,1.31,1633006080,5.24
2023-06-27,BK0912,远程办公,1454.54,1.26,91163776,0.39,348515456,1.5,-257351680,-1.11,-609528576,-2.62,518364672,2.23
2023-06-26,BK0912,远程办公,1436.37,-5.65,-2666310400,-8.23,-1878466816,-5.8,-787843584,-2.43,-174469120,-0.54,2840780032,8.77
2023-06-21,BK0912,远程办公,1522.44,-4.14,-4311096064,-11.86,-3354039552,-9.23,-957056512,-2.63,745246720,2.05,3565849856,9.81
2023-06-20,BK0912,远程办公,1588.26,0.59,1320654336,2.72,2107179264,4.34,-786524928,-1.62,-1094969600,-2.25,-225684992,-0.46
