日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0933,退税商店,1028.06,0.65,-66148007,-6.5,-39103207,-3.84,-27044800,-2.66,16655456,1.64,49492544,4.86
2023-07-06,BK0933,退税商店,1021.47,-0.37,-4681493,-0.46,-46170211,-4.57,41488718,4.1,4098272,0.41,583232,0.06
2023-07-05,BK0933,退税商店,1025.24,-0.04,58322598,3.06,37226710,1.95,21095888,1.11,-3122016,-0.16,-55200560,-2.89
2023-07-04,BK0933,退税商店,1025.63,-0.88,-67454545,-5.57,-28442283,-2.35,-39012262,-3.22,6788896,0.56,60665632,5.01
2023-07-03,BK0933,退税商店,1034.69,1.19,-110236395,-7.01,-130407115,-8.3,20170720,1.28,355376,0.02,109881024,6.99
2023-06-30,BK0933,退税商店,1022.57,0.65,-158310561,-12.33,-111415329,-8.68,-46895232,-3.65,58547456,4.5600000000000005,99763104,7.77
2023-06-29,BK0933,退税商店,1016.0,0.26,35576470,2.38,34429222,2.3,1147248,0.08,-5325952,-0.36,-30250512,-2.02
2023-06-28,BK0933,退税商店,1013.39,0.15,-19212391,-1.62,-41334855,-3.48,22122464,1.86,23455632,1.97,-4243232,-0.36
2023-06-27,BK0933,退税商店,1011.91,2.31,117812743,6.9,42845863,2.51,74966880,4.39,-45286720,-2.65,-72526032,-4.25
2023-06-26,BK0933,退税商店,989.1,-2.09,-41109548,-2.39,7372068,0.43,-48481616,-2.8200000000000003,10519200,0.61,30590352,1.78
2023-06-21,BK0933,退税商店,1010.2,-1.3,-122931719,-7.16,-103836887,-6.05,-19094832,-1.11,26486672,1.54,96445056,5.62
2023-06-20,BK0933,退税商店,1023.54,-2.2,-471043856,-15.02,-423906496,-13.52,-47137360,-1.5,103720240,3.31,367323616,11.72
2023-06-19,BK0933,退税商店,1046.56,-2.61,-649283792,-18.21,-548358864,-15.38,-100924928,-2.83,180967856,5.07,468315952,13.13
2023-06-16,BK0933,退税商店,1074.57,-0.53,-63749472,-2.32,8719296,0.32,-72468768,-2.64,38863808,1.42,24885664,0.91
