日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0625,通用航空,4106.79,1.26,69802016,0.98,181358736,2.55,-111556720,-1.57,-9744448,-0.14,-60057568,-0.84
2023-09-04,BK0625,通用航空,4079.63,1.16,-22582176,-0.42,-70573808,-1.31,47991632,0.89,21260400,0.39,1321776,0.02
2023-08-31,BK0625,通用航空,4050.88,-1.04,-231315372,-3.87,-62975292,-1.05,-168340080,-2.8200000000000003,19841696,0.33,211473696,3.54
2023-08-29,BK0625,通用航空,4092.05,2.97,-117066336,-1.33,13665344,0.16,-130731680,-1.49,-120987696,-1.38,238054032,2.71
2023-08-28,BK0625,通用航空,3974.11,1.21,-102875440,-1.06,-15778048,-0.16,-87097392,-0.9,20029584,0.21,82845840,0.85
2023-08-25,BK0625,通用航空,3926.75,-1.27,-17816288,-0.32,123421184,2.21,-141237472,-2.53,-140763904,-2.52,158580208,2.84
2023-08-24,BK0625,通用航空,3977.24,-0.35000000000000003,-166978020,-3.61,-73919460,-1.6,-93058560,-2.01,-102678816,-2.22,269656848,5.83
2023-08-23,BK0625,通用航空,3991.03,-2.42,-315844192,-6.1,-130478144,-2.52,-185366048,-3.58,14283008,0.28,301561168,5.82
2023-08-21,BK0625,通用航空,4051.77,-1.72,-304231104,-5.43,-156883840,-2.8,-147347264,-2.63,40541088,0.72,263690016,4.7
2023-08-18,BK0625,通用航空,4122.66,-1.12,-251946048,-3.92,-35017136,-0.54,-216928912,-3.37,5225024,0.08,246721056,3.84
2023-08-16,BK0625,通用航空,4074.83,-0.93,-169032496,-2.99,-21240256,-0.38,-147792240,-2.61,-95519136,-1.69,264551632,4.68
2023-08-15,BK0625,通用航空,4112.93,-0.92,-177578752,-3.12,-83846368,-1.47,-93732384,-1.65,2422288,0.04,175156496,3.07
2023-08-14,BK0625,通用航空,4151.04,-0.06,-114186400,-1.78,-80893024,-1.26,-33293376,-0.52,52318464,0.8200000000000001,61867920,0.97
2023-08-11,BK0625,通用航空,4153.37,-1.8,-452634048,-5.96,-134166896,-1.77,-318467152,-4.19,21792192,0.29,430841840,5.67
