日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1094,钙钛矿电池,888.18,-0.25,-410134848,-6.94,-132543936,-2.24,-277590912,-4.69,76293808,1.29,333841040,5.65
2023-09-04,BK1094,钙钛矿电池,878.93,1.54,28944177,0.6900000000000001,45598145,1.09,-16653968,-0.4,-28584672,-0.68,-359520,-0.01
2023-08-31,BK1094,钙钛矿电池,868.77,-0.02,7251431,0.15,29690935,0.62,-22439504,-0.47,72534464,1.5,-79785888,-1.66
2023-08-29,BK1094,钙钛矿电池,858.9,3.64,57846064,1.16,1692064,0.03,56154000,1.12,-58364528,-1.17,518480,0.01
2023-08-28,BK1094,钙钛矿电池,828.73,0.28,-86121200,-1.38,24907776,0.4,-111028976,-1.78,-42728624,-0.68,128849824,2.06
2023-08-25,BK1094,钙钛矿电池,826.42,-2.31,-104992048,-2.94,-56814080,-1.59,-48177968,-1.35,-19365520,-0.54,124357568,3.48
2023-08-24,BK1094,钙钛矿电池,846.0,0.65,-2775617,-0.07,-34783089,-0.85,32007472,0.78,4350352,0.11,-1574736,-0.04
2023-08-23,BK1094,钙钛矿电池,840.56,-2.48,-289447962,-8.2,-146082554,-4.14,-143365408,-4.06,101603504,2.88,187844448,5.32
2023-08-21,BK1094,钙钛矿电池,859.97,-0.98,-99055779,-3.17,-51318643,-1.64,-47737136,-1.53,3284240,0.1,95771552,3.06
2023-08-18,BK1094,钙钛矿电池,868.45,-1.02,14052584,0.44,1133608,0.04,12918976,0.41,47892752,1.5,-61945344,-1.94
2023-08-16,BK1094,钙钛矿电池,866.32,-1.46,-150627199,-4.06,-116749183,-3.15,-33878016,-0.91,20018224,0.54,130608976,3.52
2023-08-15,BK1094,钙钛矿电池,879.2,-1.72,-533083488,-11.83,-213596416,-4.74,-319487072,-7.09,75372672,1.67,457710800,10.16
2023-08-14,BK1094,钙钛矿电池,894.6,-0.49,-241326272,-6.0,-28001184,-0.7000000000000001,-213325088,-5.3,-8649344,-0.21,249975616,6.21
2023-08-11,BK1094,钙钛矿电池,899.0,-1.99,-226287426,-6.48,-15907410,-0.46,-210380016,-6.03,82841456,2.37,143445984,4.11
2023-08-10,BK1094,钙钛矿电池,917.23,0.61,-58980547,-2.12,-11859027,-0.43,-47121520,-1.7000000000000002,10660000,0.38,48320560,1.74
2023-08-09,BK1094,钙钛矿电池,911.63,-1.21,-370770170,-10.71,-200463018,-5.79,-170307152,-4.92,-881712,-0.03,371651888,10.73
2023-08-08,BK1094,钙钛矿电池,922.75,-0.64,-328650176,-9.42,-179542608,-5.15,-149107568,-4.27,32946400,0.94,295703760,8.48
2023-08-07,BK1094,钙钛矿电池,928.68,-0.25,-306472272,-6.57,-84077744,-1.8,-222394528,-4.77,41327056,0.89,265145216,5.68
2023-08-04,BK1094,钙钛矿电池,931.04,0.30000000000000004,-122333936,-2.39,12451904,0.24,-134785840,-2.64,-39398416,-0.77,161732368,3.16
2023-08-03,BK1094,钙钛矿电池,928.3,0.42,315505808,5.48,215164672,3.74,100341136,1.74,-20783024,-0.36,-294722784,-5.12
2023-08-02,BK1094,钙钛矿电池,924.41,-0.24,-181593717,-5.54,-112297253,-3.42,-69296464,-2.11,50444656,1.54,131149040,4.0
2023-08-01,BK1094,钙钛矿电池,926.67,-0.56,-435674326,-10.93,-163889398,-4.11,-271784928,-6.82,53975984,1.35,381698352,9.57
