日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0805,钛白粉,1140.69,-0.15,-105830075,-13.21,-66255950,-8.27,-39574125,-4.94,18488589,2.31,87341486,10.91
2023-07-13,BK0805,钛白粉,1142.37,0.7000000000000001,-5837953,-0.8,20303208,2.78,-26141161,-3.58,-31836720,-4.36,37674671,5.16
2023-07-12,BK0805,钛白粉,1134.47,-0.64,-33140231,-4.82,9166574,1.33,-42306805,-6.16,-8279066,-1.2,41419296,6.03
2023-07-11,BK0805,钛白粉,1141.77,0.6900000000000001,-12681343,-1.99,-2367360,-0.37,-10313983,-1.62,-16248371,-2.55,28929714,4.55
2023-07-10,BK0805,钛白粉,1133.97,0.07,-15411468,-1.97,-24697798,-3.16,9286330,1.19,1957123,0.25,13454336,1.72
2023-07-07,BK0805,钛白粉,1133.13,-0.18,-27631184,-3.15,2521402,0.29,-30152586,-3.43,-12712192,-1.45,40343376,4.59
2023-07-06,BK0805,钛白粉,1135.21,-1.7000000000000002,-120976169,-8.4,-90018057,-6.25,-30958112,-2.15,-45229728,-3.14,166205888,11.54
2023-07-05,BK0805,钛白粉,1154.89,1.42,154630693,7.41,160808165,7.71,-6177472,-0.30000000000000004,3944288,0.19,-158574992,-7.6
2023-07-04,BK0805,钛白粉,1138.73,0.53,20755030,1.86,27689463,2.49,-6934433,-0.62,7204768,0.65,-27959792,-2.51
2023-07-03,BK0805,钛白粉,1132.72,1.05,-9601993,-1.13,-824298,-0.1,-8777695,-1.03,-10715712,-1.26,20317712,2.39
2023-06-30,BK0805,钛白粉,1120.9,1.44,22919459,2.97,19120761,2.47,3798698,0.49,-7405051,-0.96,-15514400,-2.01
2023-06-29,BK0805,钛白粉,1105.03,-0.05,-53571330,-7.93,-42782030,-6.34,-10789300,-1.6,-10092463,-1.49,63663788,9.43
2023-06-28,BK0805,钛白粉,1105.59,-0.4,-41613336,-5.48,-6314018,-0.8300000000000001,-35299318,-4.65,10887438,1.43,30725894,4.05
2023-06-27,BK0805,钛白粉,1110.03,2.83,68259292,7.23,25341590,2.68,42917702,4.55,-67123856,-7.11,-1135424,-0.12
2023-06-26,BK0805,钛白粉,1079.51,-0.77,-61232796,-6.67,-32772206,-3.5700000000000003,-28460590,-3.1,-15655120,-1.71,76887920,8.38
2023-06-21,BK0805,钛白粉,1087.87,-1.46,-63169738,-8.56,-16198881,-2.19,-46970857,-6.36,19973557,2.71,43196186,5.85
2023-06-20,BK0805,钛白粉,1103.94,-1.56,-105701157,-14.23,-45315557,-6.1,-60385600,-8.13,21879296,2.94,83821861,11.28
2023-06-19,BK0805,钛白粉,1121.39,-1.44,-99599717,-12.98,-44013886,-5.73,-55585831,-7.24,35607851,4.64,63991865,8.34
2023-06-16,BK0805,钛白粉,1137.75,0.63,-24000720,-2.79,-5538011,-0.64,-18462709,-2.15,-25500064,-2.97,49500768,5.76
