日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK0594,长江三角,2159.22,-0.02,-1697590528,-2.44,-627840512,-0.9,-1069750016,-1.54,286678272,0.41,1410912256,2.03
2023-07-05,BK0594,长江三角,2159.57,-0.61,-3936559616,-5.61,-1987442688,-2.83,-1949116928,-2.78,221398784,0.32,3715160576,5.3
2023-07-04,BK0594,长江三角,2172.76,0.22,-2206153984,-2.8200000000000003,-909218560,-1.16,-1296935424,-1.66,-459664128,-0.59,2665817856,3.41
2023-07-03,BK0594,长江三角,2167.97,0.5,-1929550080,-2.11,-964772096,-1.05,-964777984,-1.05,94778624,0.1,1834771200,2.0
2023-06-30,BK0594,长江三角,2157.26,1.08,-387090176,-0.47,224369664,0.27,-611459840,-0.73,-883937024,-1.06,1271027200,1.53
2023-06-29,BK0594,长江三角,2134.17,0.62,-1750227968,-2.22,-507748608,-0.64,-1242479360,-1.57,-379490560,-0.48,2129718528,2.7
2023-06-28,BK0594,长江三角,2120.97,-0.11,-3858357760,-4.67,-1700026368,-2.06,-2158331392,-2.61,576392960,0.7000000000000001,3281964800,3.97
2023-06-27,BK0594,长江三角,2123.21,2.03,352288000,0.43,911541248,1.12,-559253248,-0.6900000000000001,-462996992,-0.5700000000000001,110708992,0.14
2023-06-26,BK0594,长江三角,2081.02,-1.56,-4302034688,-4.79,-2216930560,-2.47,-2085104128,-2.32,-86103296,-0.1,4388137728,4.89
2023-06-21,BK0594,长江三角,2114.1,-1.26,-4588530944,-4.82,-2738308352,-2.88,-1850222592,-1.95,-44644608,-0.05,4633175808,4.87
2023-06-20,BK0594,长江三角,2141.16,-0.7000000000000001,-2815687936,-2.71,-993696768,-0.96,-1821991168,-1.75,248421120,0.24,2567266816,2.47
2023-06-19,BK0594,长江三角,2156.24,-0.44,-1824037376,-1.69,-544066560,-0.5,-1279970816,-1.19,176847360,0.16,1647190272,1.53
2023-06-16,BK0594,长江三角,2165.75,0.79,1614645504,1.66,2257168128,2.31,-642522624,-0.66,-1489843200,-1.53,-124802048,-0.13
