日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK0894,阿兹海默,1356.87,-0.97,-33413157,-1.65,-32116197,-1.59,-1296960,-0.06,39231472,1.94,-5818336,-0.29
2023-08-03,BK0894,阿兹海默,1370.17,4.75,54934713,1.99,138450505,5.01,-83515792,-3.02,-11450752,-0.41,-43483952,-1.57
2023-08-02,BK0894,阿兹海默,1308.01,-1.42,-101629346,-9.14,-14864945,-1.34,-86764401,-7.8,872848,0.08,100756480,9.06
2023-08-01,BK0894,阿兹海默,1326.79,-0.73,-93225289,-7.83,-39311962,-3.3,-53913327,-4.53,-20309776,-1.71,113535072,9.54
2023-07-31,BK0894,阿兹海默,1336.49,-1.4,-107986894,-6.5,-39552030,-2.38,-68434864,-4.12,24224784,1.46,83762112,5.04
2023-07-28,BK0894,阿兹海默,1355.52,0.6000000000000001,-21063629,-2.12,-28210813,-2.84,7147184,0.72,-28009984,-2.8200000000000003,49073616,4.95
2023-07-27,BK0894,阿兹海默,1347.44,-1.04,-44179243,-4.91,-45403041,-5.05,1223798,0.14,-76489168,-8.5,120668400,13.41
2023-07-26,BK0894,阿兹海默,1361.54,0.41,11480315,1.51,9282780,1.22,2197535,0.29,-9960461,-1.31,-1519840,-0.2
2023-07-24,BK0894,阿兹海默,1345.21,1.47,-7343010,-0.73,4180169,0.42,-11523179,-1.15,-9686928,-0.97,17029936,1.7000000000000002
2023-07-21,BK0894,阿兹海默,1325.75,0.5,22880924,2.95,-3860148,-0.5,26741072,3.45,-6931711,-0.89,-15949216,-2.05
2023-07-20,BK0894,阿兹海默,1319.11,-0.9,-28257694,-3.31,-24646834,-2.88,-3610860,-0.42,-21752080,-2.54,50009776,5.85
2023-07-19,BK0894,阿兹海默,1331.06,-1.34,-113782314,-10.52,-58375215,-5.4,-55407099,-5.12,21084800,1.95,92697520,8.57
2023-07-17,BK0894,阿兹海默,1356.27,0.06,-5419793,-0.65,625638,0.08,-6045431,-0.73,-5834992,-0.7000000000000001,11254784,1.36
2023-07-14,BK0894,阿兹海默,1355.48,-0.51,-36332422,-4.91,-24463364,-3.31,-11869058,-1.6,7298554,0.99,29033872,3.92
2023-07-13,BK0894,阿兹海默,1362.45,0.73,-16901650,-2.1,2286809,0.28,-19188459,-2.39,-5046918,-0.63,21948560,2.73
2023-07-12,BK0894,阿兹海默,1352.52,-1.3,-73796615,-7.68,-7062008,-0.74,-66734607,-6.95,-28108432,-2.93,101905040,10.61
2023-07-11,BK0894,阿兹海默,1370.37,0.24,-13533072,-1.43,-1573069,-0.17,-11960003,-1.26,-29484064,-3.12,43017136,4.55
2023-07-10,BK0894,阿兹海默,1367.12,0.18,-4314981,-0.42,-21279705,-2.08,16964724,1.66,9138480,0.89,-4823488,-0.47
2023-07-07,BK0894,阿兹海默,1364.72,0.63,-4260620,-0.38,23052256,2.04,-27312876,-2.41,-21166816,-1.87,25427440,2.25
2023-07-06,BK0894,阿兹海默,1356.12,-1.8,-83480159,-5.17,-83086735,-5.14,-393424,-0.02,-1314800,-0.08,84794960,5.25
2023-07-05,BK0894,阿兹海默,1380.93,0.45,-6443374,-0.43,18583506,1.23,-25026880,-1.65,-4110160,-0.27,10553536,0.7000000000000001
2023-07-04,BK0894,阿兹海默,1374.81,1.23,-3224618,-0.28,23224663,2.05,-26449281,-2.34,-38714928,-3.42,41939552,3.71
2023-07-03,BK0894,阿兹海默,1358.12,-0.16,-43508549,-3.73,-34519397,-2.96,-8989152,-0.77,-8932016,-0.77,52440560,4.5
2023-06-30,BK0894,阿兹海默,1360.34,1.46,20483844,2.05,-10933927,-1.1,31417771,3.15,41198992,4.13,-61682848,-6.18
2023-06-29,BK0894,阿兹海默,1340.76,0.99,1102072,0.14,1804544,0.23,-702472,-0.09,17269809,2.22,-18371888,-2.36
2023-06-28,BK0894,阿兹海默,1327.67,-0.14,-31689230,-4.39,-8908196,-1.23,-22781034,-3.15,19307886,2.67,12381344,1.71
2023-06-27,BK0894,阿兹海默,1329.59,2.21,13044681,1.39,11708442,1.25,1336239,0.14,-32583520,-3.48,19538832,2.09
2023-06-26,BK0894,阿兹海默,1300.9,-1.61,-60325720,-7.05,-16887343,-1.97,-43438377,-5.08,-3941696,-0.46,64267424,7.52
2023-06-21,BK0894,阿兹海默,1322.25,-1.69,-98187379,-9.88,-25557918,-2.5700000000000003,-72629461,-7.3,5063328,0.51,93124064,9.37
2023-06-20,BK0894,阿兹海默,1344.93,-0.62,-70854823,-5.41,-89982232,-6.87,19127409,1.46,35785616,2.73,35069216,2.68
2023-06-19,BK0894,阿兹海默,1353.36,-0.9,-55393854,-4.64,-54634162,-4.58,-759692,-0.06,42090608,3.53,13303248,1.12
2023-06-16,BK0894,阿兹海默,1365.63,0.05,-12107628,-1.12,-6716344,-0.62,-5391284,-0.5,3210496,0.30000000000000004,8897136,0.8200000000000001
