日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0813,雄安新区,834.85,0.42,954320432,2.86,1044504624,3.13,-90184192,-0.27,-748785920,-2.25,-205534208,-0.62
2023-07-13,BK0813,雄安新区,831.32,0.6900000000000001,-756745568,-2.41,-125406304,-0.4,-631339264,-2.01,-247453184,-0.79,1004198656,3.2
2023-07-12,BK0813,雄安新区,825.66,-1.25,-2254044896,-7.06,-1114183136,-3.49,-1139861760,-3.5700000000000003,245598464,0.77,2008446464,6.29
2023-07-11,BK0813,雄安新区,836.11,0.49,356543504,1.23,578315792,1.99,-221772288,-0.76,-535249152,-1.84,178705664,0.62
2023-07-10,BK0813,雄安新区,832.0,0.59,-1121637840,-4.68,-939370960,-3.92,-182266880,-0.76,403512832,1.6800000000000002,718125056,2.99
2023-07-07,BK0813,雄安新区,827.09,-0.54,-1429931104,-5.04,-587879264,-2.07,-842051840,-2.97,410244608,1.45,1019686400,3.6
2023-07-06,BK0813,雄安新区,831.62,0.04,-163354640,-0.56,130614512,0.45,-293969152,-1.01,-258835968,-0.89,422190592,1.46
2023-07-05,BK0813,雄安新区,831.3,-0.49,-1837671664,-6.18,-1136705520,-3.82,-700966144,-2.36,284836096,0.96,1552835840,5.22
2023-07-04,BK0813,雄安新区,835.36,-0.04,-1046004848,-3.67,-286324080,-1.0,-759680768,-2.66,69048064,0.24,976956928,3.42
2023-07-03,BK0813,雄安新区,835.66,1.02,-993979904,-2.86,-721531904,-2.08,-272448000,-0.78,327685632,0.94,666294272,1.92
2023-06-30,BK0813,雄安新区,827.23,1.04,-225726576,-0.71,-280939632,-0.89,55213056,0.17,-315788032,-1.0,541514752,1.71
2023-06-29,BK0813,雄安新区,818.7,0.43,-532903680,-1.79,-30217472,-0.1,-502686208,-1.69,-282084864,-0.95,814988544,2.73
2023-06-28,BK0813,雄安新区,815.16,-0.25,-1735588624,-5.02,-869455888,-2.51,-866132736,-2.5,458918656,1.33,1276669696,3.69
2023-06-27,BK0813,雄安新区,817.22,2.65,87286944,0.29,71598240,0.24,15688704,0.05,-258601472,-0.86,171314432,0.5700000000000001
2023-06-26,BK0813,雄安新区,796.11,-1.97,-2395307008,-6.55,-1814254848,-4.96,-581052160,-1.59,-25829376,-0.07,2421136128,6.62
2023-06-21,BK0813,雄安新区,812.1,-1.57,-3031173888,-7.69,-1825859840,-4.63,-1205314048,-3.06,395490304,1.0,2635683584,6.68
2023-06-20,BK0813,雄安新区,825.04,-0.94,-1370287360,-2.91,-421233664,-0.89,-949053696,-2.01,-57819904,-0.12,1428107264,3.03
2023-06-19,BK0813,雄安新区,832.89,-0.52,-1716979200,-3.95,-439701760,-1.01,-1277277440,-2.93,119825408,0.28,1597153792,3.67
2023-06-16,BK0813,雄安新区,837.27,1.04,156424704,0.37,415654144,0.98,-259229440,-0.61,80967936,0.19,-237392384,-0.56
