日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0872,青蒿素,1494.93,-0.38,-120645551,-6.77,-72832719,-4.08,-47812832,-2.68,14911744,0.84,105733808,5.93
2023-07-04,BK0872,青蒿素,1500.62,0.17,-78911792,-3.96,-67900496,-3.41,-11011296,-0.55,9717936,0.49,69193856,3.47
2023-07-03,BK0872,青蒿素,1498.01,-0.13,-56426591,-2.9,-27976431,-1.44,-28450160,-1.46,1318656,0.07,55107920,2.84
2023-06-30,BK0872,青蒿素,1499.91,0.87,-50904347,-2.73,-6879931,-0.37,-44024416,-2.36,-15554256,-0.84,66458624,3.5700000000000003
2023-06-29,BK0872,青蒿素,1486.92,0.04,-211119460,-10.54,-89467124,-4.47,-121652336,-6.07,34137248,1.7000000000000002,176982208,8.83
2023-06-28,BK0872,青蒿素,1486.31,-0.21,-87597381,-6.46,-9390413,-0.6900000000000001,-78206968,-5.77,17577984,1.3,70019392,5.17
2023-06-27,BK0872,青蒿素,1489.5,1.79,63427737,4.22,36187609,2.41,27240128,1.81,-78027152,-5.19,14599408,0.97
2023-06-26,BK0872,青蒿素,1463.25,-0.6900000000000001,-84654559,-4.02,-10504127,-0.5,-74150432,-3.52,-138893344,-6.59,223547904,10.6
2023-06-21,BK0872,青蒿素,1473.42,-2.03,-408475946,-13.78,-225749690,-7.62,-182726256,-6.17,43978448,1.48,364497520,12.3
2023-06-20,BK0872,青蒿素,1503.9,-1.21,-110757349,-5.39,-109818949,-5.34,-938400,-0.05,20556704,1.0,90200656,4.39
2023-06-19,BK0872,青蒿素,1522.35,-0.55,-18439375,-0.6900000000000001,-52224399,-1.96,33785024,1.27,11342208,0.43,7097152,0.27
2023-06-16,BK0872,青蒿素,1530.76,-0.28,21412383,1.01,-26299729,-1.24,47712112,2.26,-63618272,-3.01,42205904,2.0
