日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0603,页岩气,1733.55,0.68,-548560304,-7.94,-278221600,-4.03,-270338704,-3.91,130972160,1.9,417046784,6.04
2023-07-27,BK0603,页岩气,1721.92,-0.37,-428203424,-7.17,-358493536,-6.0,-69709888,-1.17,15619360,0.26,410037600,6.87
2023-07-26,BK0603,页岩气,1728.27,-0.18,-475226960,-7.89,-327343488,-5.43,-147883472,-2.45,176044080,2.92,298010512,4.95
2023-07-24,BK0603,页岩气,1712.04,-0.27,-153939136,-4.34,-32975568,-0.93,-120963568,-3.41,-16542768,-0.47,169654304,4.78
2023-07-21,BK0603,页岩气,1716.67,-0.58,-256599360,-6.15,-77580800,-1.86,-179018560,-4.29,-31271232,-0.75,286136032,6.86
2023-07-20,BK0603,页岩气,1726.67,-0.77,-290946944,-5.71,-144959232,-2.84,-145987712,-2.86,2910784,0.06,287211248,5.63
2023-07-19,BK0603,页岩气,1740.06,-0.41,-259570976,-5.76,-129156032,-2.86,-130414944,-2.89,91582208,2.03,164310864,3.64
2023-07-17,BK0603,页岩气,1742.07,0.30000000000000004,96150880,1.91,66508768,1.32,29642112,0.59,-176172576,-3.5,74512016,1.48
2023-07-14,BK0603,页岩气,1736.91,0.73,-376982272,-5.63,-174091104,-2.6,-202891168,-3.03,-21843760,-0.33,401796720,6.0
2023-07-13,BK0603,页岩气,1724.36,1.05,41211440,0.58,131385904,1.84,-90174464,-1.26,-114932128,-1.61,75490304,1.06
2023-07-12,BK0603,页岩气,1706.48,0.35000000000000003,212298624,3.96,156866688,2.92,55431936,1.03,-131784192,-2.46,-83805728,-1.56
2023-07-11,BK0603,页岩气,1700.5,0.36,-270798976,-6.68,-72926400,-1.8,-197872576,-4.88,-54694752,-1.35,322680528,7.96
2023-07-10,BK0603,页岩气,1694.45,-0.31,-238405648,-5.3,-90064736,-2.0,-148340912,-3.3,-37315792,-0.8300000000000001,268754624,5.97
2023-07-07,BK0603,页岩气,1699.72,0.24,-70421456,-1.38,-109980800,-2.15,39559344,0.77,-21388944,-0.42,102387344,2.0
2023-07-06,BK0603,页岩气,1695.61,-0.21,-60710048,-1.19,-199365712,-3.91,138655664,2.72,-133060640,-2.61,194976768,3.83
2023-07-05,BK0603,页岩气,1699.21,0.38,-167200144,-3.49,-209893664,-4.39,42693520,0.89,27400496,0.5700000000000001,140304736,2.93
2023-07-04,BK0603,页岩气,1692.76,0.5700000000000001,-297690688,-5.7,-169578896,-3.24,-128111792,-2.45,39943824,0.76,258478960,4.94
2023-07-03,BK0603,页岩气,1683.1,1.4,173878352,2.91,92766064,1.55,81112288,1.36,-113880608,-1.91,-61401488,-1.03
2023-06-30,BK0603,页岩气,1659.85,1.26,-59176864,-1.38,13772144,0.32,-72949008,-1.7000000000000002,-137988416,-3.22,195430816,4.55
2023-06-29,BK0603,页岩气,1639.16,0.39,-97787680,-2.18,7753040,0.17,-105540720,-2.35,-36261504,-0.81,138694704,3.09
2023-06-28,BK0603,页岩气,1632.76,0.55,24292416,0.45,-8742960,-0.16,33035376,0.61,-58445312,-1.08,33805024,0.62
2023-06-27,BK0603,页岩气,1623.77,2.22,7048832,0.1,-50968512,-0.75,58017344,0.85,-36931744,-0.54,29675696,0.44
2023-06-26,BK0603,页岩气,1588.52,-0.23,-143709264,-2.23,-246968688,-3.83,103259424,1.6,101926672,1.58,39879760,0.62
2023-06-21,BK0603,页岩气,1592.19,0.52,492082832,7.3,104772800,1.55,387310032,5.74,-306168896,-4.54,-183651264,-2.72
2023-06-20,BK0603,页岩气,1583.88,-0.87,-129906704,-2.66,-36936912,-0.76,-92969792,-1.9,-46007664,-0.94,175974640,3.6
2023-06-19,BK0603,页岩气,1597.72,-0.98,-356612448,-7.22,-291099808,-5.9,-65512640,-1.33,78287824,1.59,275172896,5.57
2023-06-16,BK0603,页岩气,1613.59,0.59,-256235088,-4.52,-170597712,-3.01,-85637376,-1.51,103451776,1.82,152703136,2.69
