日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK1025,预制菜概念,1158.51,-1.47,-830708624,-8.62,-431225056,-4.47,-399483568,-4.14,47560448,0.49,780989712,8.1
2023-08-03,BK1025,预制菜概念,1175.74,1.82,-129438672,-1.34,38561568,0.4,-168000240,-1.74,24255600,0.25,109172656,1.13
2023-08-02,BK1025,预制菜概念,1154.77,-0.19,-3975648,-0.04,185929424,2.04,-189905072,-2.09,-169811008,-1.86,173358512,1.9
2023-08-01,BK1025,预制菜概念,1156.93,-0.25,-1036318864,-9.78,-455566352,-4.3,-580752512,-5.48,248809008,2.35,786960672,7.42
2023-07-31,BK1025,预制菜概念,1159.81,2.96,580582832,5.99,558843776,5.76,21739056,0.22,-267493440,-2.76,-313523536,-3.23
2023-07-28,BK1025,预制菜概念,1126.42,0.93,-148790288,-2.8,-51554544,-0.97,-97235744,-1.83,-117719424,-2.22,266573360,5.02
2023-07-27,BK1025,预制菜概念,1116.09,-0.08,-88416144,-1.62,5210976,0.1,-93627120,-1.71,-38002672,-0.6900000000000001,126473552,2.31
2023-07-26,BK1025,预制菜概念,1116.99,0.79,-136587359,-2.5,26284369,0.48,-162871728,-2.98,-24758976,-0.45,161299984,2.95
2023-07-24,BK1025,预制菜概念,1099.73,-1.08,-306858954,-5.69,-186073178,-3.45,-120785776,-2.24,15787200,0.29,291209712,5.4
2023-07-21,BK1025,预制菜概念,1111.77,1.45,-148513904,-1.93,-195033904,-2.54,46520000,0.61,140154496,1.82,8462768,0.11
2023-07-20,BK1025,预制菜概念,1095.88,0.65,388966976,7.12,392320736,7.18,-3353760,-0.06,-185839712,-3.4,-203310368,-3.72
2023-07-19,BK1025,预制菜概念,1088.84,0.15,-150752772,-4.44,-42347476,-1.25,-108405296,-3.19,-31670928,-0.93,182435056,5.37
2023-07-17,BK1025,预制菜概念,1080.33,-0.29,-89114101,-2.75,-25263669,-0.78,-63850432,-1.97,-13906976,-0.43,102981872,3.18
2023-07-14,BK1025,预制菜概念,1083.47,-0.55,-159421905,-4.66,-25261681,-0.74,-134160224,-3.92,10757968,0.31,148815616,4.35
2023-07-13,BK1025,预制菜概念,1089.47,0.66,-98091825,-2.94,-70614049,-2.11,-27477776,-0.8200000000000001,-83084896,-2.49,181425872,5.43
2023-07-12,BK1025,预制菜概念,1082.29,-0.79,-100022255,-2.8200000000000003,-4604175,-0.13,-95418080,-2.69,-55197408,-1.56,155174736,4.38
2023-07-11,BK1025,预制菜概念,1090.87,-0.24,-228995883,-6.34,-101732075,-2.8200000000000003,-127263808,-3.52,-59768592,-1.65,288734048,7.99
2023-07-10,BK1025,预制菜概念,1093.53,0.30000000000000004,-146710592,-2.96,17670448,0.36,-164381040,-3.32,-9409216,-0.19,156124560,3.15
2023-07-07,BK1025,预制菜概念,1090.26,1.02,44322864,0.93,94096928,1.97,-49774064,-1.04,39823952,0.8300000000000001,-84252896,-1.76
2023-07-06,BK1025,预制菜概念,1079.23,0.16,-6116717,-0.14,53107219,1.26,-59223936,-1.4,-313824,-0.01,6490400,0.15
2023-07-05,BK1025,预制菜概念,1077.48,-1.01,-230058440,-7.24,-91266744,-2.87,-138791696,-4.37,16044384,0.5,214244208,6.74
2023-07-04,BK1025,预制菜概念,1088.49,0.04,-125750538,-3.09,-97426186,-2.39,-28324352,-0.7000000000000001,-37891136,-0.93,164282672,4.03
2023-07-03,BK1025,预制菜概念,1088.02,1.61,67028135,1.48,15832455,0.35000000000000003,51195680,1.13,-52218688,-1.15,-14845264,-0.33
2023-06-30,BK1025,预制菜概念,1070.73,0.5700000000000001,-172997300,-4.7,-67467380,-1.83,-105529920,-2.86,-78333104,-2.13,251715216,6.83
2023-06-29,BK1025,预制菜概念,1064.7,-0.21,-168717215,-5.58,-64096479,-2.12,-104620736,-3.46,29256064,0.97,139598192,4.61
2023-06-28,BK1025,预制菜概念,1066.91,-0.01,-121833359,-4.04,-26369519,-0.88,-95463840,-3.17,-16206096,-0.54,138275488,4.59
2023-06-27,BK1025,预制菜概念,1067.0,1.63,3450544,0.1,32937296,0.95,-29486752,-0.85,-37571424,-1.08,34004160,0.98
2023-06-26,BK1025,预制菜概念,1049.88,-1.84,-194323756,-5.2,-85846892,-2.3,-108476864,-2.9,-69620288,-1.86,263553344,7.05
2023-06-21,BK1025,预制菜概念,1069.57,-0.9,-126992001,-3.3,-89218561,-2.32,-37773440,-0.98,-44318720,-1.15,171922656,4.47
2023-06-20,BK1025,预制菜概念,1079.33,-1.19,-284323715,-7.02,-97535251,-2.41,-186788464,-4.61,-5339216,-0.13,289143376,7.14
2023-06-19,BK1025,预制菜概念,1092.37,-1.22,-295530959,-6.02,-130285647,-2.65,-165245312,-3.36,11801136,0.24,283981856,5.78
2023-06-16,BK1025,预制菜概念,1105.91,-0.22,-158614656,-2.9,-89684224,-1.64,-68930432,-1.26,28470064,0.52,130400208,2.39
