日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0595,风能,1857.11,0.36,-409674752,-0.96,-128020480,-0.30000000000000004,-281654272,-0.66,-82228992,-0.19,491743488,1.15
2023-07-07,BK0595,风能,1850.48,-0.41,-1117106320,-2.77,-489998992,-1.21,-627107328,-1.55,214812416,0.53,901362688,2.23
2023-07-06,BK0595,风能,1858.08,0.1,-787475968,-2.06,-465277184,-1.22,-322198784,-0.84,-119326464,-0.31,905752320,2.37
2023-07-05,BK0595,风能,1856.15,-0.86,-2182333024,-5.58,-1309898336,-3.35,-872434688,-2.23,40689408,0.1,2141762560,5.47
2023-07-04,BK0595,风能,1872.23,-0.04,-2274343424,-4.73,-1317424384,-2.74,-956919040,-1.99,274633472,0.5700000000000001,1999368960,4.16
2023-07-03,BK0595,风能,1872.92,1.17,1339765504,2.45,1057203200,1.94,282562304,0.52,-550871808,-1.01,-788710144,-1.44
2023-06-30,BK0595,风能,1851.33,0.56,-1269063760,-3.0,-442014032,-1.05,-827049728,-1.96,-250732544,-0.59,1518524928,3.6
2023-06-29,BK0595,风能,1841.02,0.49,-877329952,-1.97,-202710560,-0.45,-674619392,-1.51,-274401792,-0.61,1152570880,2.58
2023-06-28,BK0595,风能,1832.13,0.64,-777885920,-1.65,-485094624,-1.03,-292791296,-0.62,31721984,0.07,745750784,1.58
2023-06-27,BK0595,风能,1820.49,1.29,-1053490688,-2.15,-331518208,-0.68,-721972480,-1.47,421189376,0.86,632228096,1.29
2023-06-26,BK0595,风能,1797.23,-0.22,-1072709120,-2.0,-33838848,-0.06,-1038870272,-1.94,102205440,0.19,970368000,1.81
2023-06-21,BK0595,风能,1801.22,-0.6900000000000001,-2060151040,-4.61,-1422641920,-3.18,-637509120,-1.43,52494592,0.12,2007521792,4.49
2023-06-20,BK0595,风能,1813.72,-0.25,-549611520,-1.18,26795264,0.06,-576406784,-1.24,-205039360,-0.44,754506752,1.62
2023-06-19,BK0595,风能,1818.2,0.15,-1349725184,-2.91,-419619584,-0.9,-930105600,-2.0,26765824,0.06,1323076352,2.85
2023-06-16,BK0595,风能,1815.55,0.74,-574013952,-1.1,-360858880,-0.6900000000000001,-213155072,-0.41,110713856,0.21,463218432,0.89
