日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK1144,高压快充,937.92,0.56,-258080816,-5.85,-76520656,-1.74,-181560160,-4.12,6125616,0.14,251955200,5.71
2023-08-09,BK1144,高压快充,932.67,-1.77,-1362727440,-18.37,-995769952,-13.42,-366957488,-4.95,137783344,1.86,1224944112,16.51
2023-08-08,BK1144,高压快充,949.47,-0.91,-24557344,-0.37,71129024,1.08,-95686368,-1.46,-65537904,-1.0,90095248,1.37
2023-08-07,BK1144,高压快充,958.18,-0.23,-321452496,-4.59,-74677536,-1.07,-246774960,-3.52,31119648,0.44,290332864,4.14
2023-08-04,BK1144,高压快充,960.42,1.09,248484944,3.29,128789312,1.71,119695632,1.58,-134384224,-1.78,-114100720,-1.51
2023-08-03,BK1144,高压快充,950.1,0.02,-177802176,-3.08,-8011184,-0.14,-169790992,-2.94,-103243392,-1.79,281045584,4.86
2023-08-02,BK1144,高压快充,949.91,-0.19,-28434752,-0.5,13840512,0.24,-42275264,-0.74,-30608016,-0.53,59042784,1.03
2023-08-01,BK1144,高压快充,951.7,-0.53,-178392736,-2.62,-42541456,-0.62,-135851280,-1.99,18188528,0.27,160204224,2.35
2023-07-31,BK1144,高压快充,956.74,1.1,-237393776,-3.53,-134971600,-2.0,-102422176,-1.52,53374752,0.79,184019040,2.73
2023-07-28,BK1144,高压快充,946.35,0.0,-351689360,-5.26,-206066768,-3.08,-145622592,-2.18,-86233616,-1.29,437922976,6.55
2023-07-27,BK1144,高压快充,946.32,-0.08,-305217280,-4.71,-89056336,-1.38,-216160944,-3.34,12964656,0.2,292252624,4.51
2023-07-26,BK1144,高压快充,947.04,-2.16,-769878368,-10.72,-380882720,-5.31,-388995648,-5.42,138790656,1.93,631087728,8.79
2023-07-24,BK1144,高压快充,955.92,-0.17,-135989712,-2.13,80344256,1.26,-216333968,-3.39,-27026640,-0.42,163016368,2.55
2023-07-21,BK1144,高压快充,957.54,-2.13,-708052880,-7.84,-299560304,-3.32,-408492576,-4.52,-12577840,-0.14,720630720,7.98
2023-07-20,BK1144,高压快充,978.38,-2.34,-1280774416,-11.47,-1008944704,-9.04,-271829712,-2.43,254088128,2.28,1026686304,9.2
2023-07-19,BK1144,高压快充,1001.8,-1.33,-264303088,-2.79,-39393040,-0.42,-224910048,-2.38,-35711984,-0.38,300015056,3.17
2023-07-17,BK1144,高压快充,1022.66,0.86,424289664,3.14,160742016,1.19,263547648,1.95,-56588800,-0.42,-367700848,-2.72
2023-07-14,BK1144,高压快充,1013.9,-1.57,-472830224,-4.01,-101339568,-0.86,-371490656,-3.15,36926672,0.31,435903536,3.69
2023-07-13,BK1144,高压快充,1030.12,0.46,-240505712,-1.76,-198173968,-1.45,-42331744,-0.31,67408384,0.49,173097344,1.27
2023-07-12,BK1144,高压快充,1025.39,0.04,-671497360,-3.84,-534166160,-3.05,-137331200,-0.78,262892544,1.5,408604672,2.33
2023-07-11,BK1144,高压快充,1024.99,2.37,272604960,2.13,284552928,2.22,-11947968,-0.09,38851184,0.30000000000000004,-311456160,-2.43
2023-07-10,BK1144,高压快充,1001.26,-0.07,-489126944,-5.79,-293895328,-3.48,-195231616,-2.31,56885264,0.67,432241664,5.11
2023-07-07,BK1144,高压快充,1001.97,-2.06,-737729856,-6.7,-424590384,-3.86,-313139472,-2.84,106853296,0.97,630876560,5.73
2023-07-06,BK1144,高压快充,1023.04,0.23,117994816,0.85,590800160,4.28,-472805344,-3.42,-391784320,-2.84,273789488,1.98
2023-07-05,BK1144,高压快充,1020.74,-1.5,-512768800,-3.67,-11475360,-0.08,-501293440,-3.59,-192469248,-1.38,705237952,5.05
2023-07-04,BK1144,高压快充,1036.31,1.29,218896320,1.61,186569696,1.37,32326624,0.24,8008704,0.06,-226904976,-1.67
2023-07-03,BK1144,高压快充,1023.14,0.54,-432131120,-2.92,-328570080,-2.22,-103561040,-0.7000000000000001,-42550528,-0.29,474681648,3.21
2023-06-30,BK1144,高压快充,1017.62,1.83,784307312,5.48,760442688,5.32,23864624,0.17,-228161792,-1.59,-556145536,-3.89
2023-06-29,BK1144,高压快充,999.32,1.7000000000000002,-6265488,-0.06,152864512,1.38,-159130000,-1.44,-61889632,-0.56,68155120,0.62
2023-06-28,BK1144,高压快充,982.64,-0.23,-536749216,-4.89,-195494368,-1.78,-341254848,-3.11,78579952,0.72,458169264,4.17
2023-06-27,BK1144,高压快充,984.95,1.71,-241398672,-2.46,5335264,0.05,-246733936,-2.51,-81094688,-0.8300000000000001,322493360,3.29
2023-06-26,BK1144,高压快充,968.36,-2.59,-708674384,-5.99,-361046432,-3.05,-347627952,-2.94,-175597584,-1.48,884271968,7.48
2023-06-21,BK1144,高压快充,994.14,-2.33,-1340216560,-8.57,-881876000,-5.64,-458340560,-2.93,88781568,0.5700000000000001,1251434848,8.01
2023-06-20,BK1144,高压快充,1017.9,0.77,-1156005472,-6.25,-785127264,-4.25,-370878208,-2.01,443346688,2.4,712658688,3.86
2023-06-19,BK1144,高压快充,1010.16,1.02,-196339568,-1.42,-58188384,-0.42,-138151184,-1.0,44606976,0.32,151732464,1.1
