日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0953,鸿蒙概念,1135.51,-0.25,-309977920,-1.94,-285022336,-1.78,-24955584,-0.16,-284206848,-1.77,594184704,3.71
2023-07-07,BK0953,鸿蒙概念,1138.33,-2.04,-2640481488,-12.24,-1808139216,-8.38,-832342272,-3.86,521504000,2.42,2118977280,9.83
2023-07-06,BK0953,鸿蒙概念,1162.01,1.11,1600599856,9.37,1392560432,8.15,208039424,1.22,-824389632,-4.83,-776210176,-4.55
2023-07-05,BK0953,鸿蒙概念,1149.27,-1.41,-1259031472,-7.05,-681761712,-3.82,-577269760,-3.23,71470336,0.4,1187561216,6.65
2023-07-04,BK0953,鸿蒙概念,1165.71,1.36,178166416,0.8300000000000001,213480336,1.0,-35313920,-0.17,-58451968,-0.27,-119714304,-0.56
2023-07-03,BK0953,鸿蒙概念,1150.04,-0.54,-773420448,-3.49,-499934368,-2.26,-273486080,-1.23,234155520,1.06,539264768,2.44
2023-06-30,BK0953,鸿蒙概念,1156.28,1.03,-119542464,-0.6000000000000001,76421952,0.39,-195964416,-0.99,-198334208,-1.0,317876736,1.6
2023-06-29,BK0953,鸿蒙概念,1144.46,0.6900000000000001,-1251892448,-6.74,-471754000,-2.54,-780138448,-4.2,250031360,1.35,1001861120,5.4
2023-06-28,BK0953,鸿蒙概念,1136.64,-1.8,-1592506960,-6.28,-768598864,-3.03,-823908096,-3.25,442161920,1.74,1150344960,4.54
2023-06-27,BK0953,鸿蒙概念,1157.45,1.64,564471344,2.8200000000000003,686399792,3.43,-121928448,-0.61,-309051136,-1.54,-255420416,-1.28
2023-06-26,BK0953,鸿蒙概念,1138.81,-5.32,-2126149872,-9.31,-871316208,-3.82,-1254833664,-5.5,186345984,0.8200000000000001,1939803904,8.5
2023-06-21,BK0953,鸿蒙概念,1202.79,-4.44,-2883705776,-10.01,-2022148784,-7.02,-861556992,-2.99,486044416,1.69,2397661440,8.32
2023-06-20,BK0953,鸿蒙概念,1258.73,0.87,931832800,2.94,1114592992,3.51,-182760192,-0.58,-703627264,-2.22,-228205568,-0.72
2023-06-19,BK0953,鸿蒙概念,1247.88,0.92,-610875824,-2.17,-177337008,-0.63,-433538816,-1.54,-32621824,-0.12,643497728,2.29
2023-06-16,BK0953,鸿蒙概念,1236.5,1.38,355786896,1.3,632845968,2.31,-277059072,-1.01,-179345920,-0.65,-176441088,-0.64
