日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK0547,黄金概念,10934.27,-0.31,60336784,0.52,-73670608,-0.63,134007392,1.15,-163395296,-1.41,103058512,0.89
2023-07-11,BK0547,黄金概念,10968.6,0.87,75415456,0.85,90114816,1.02,-14699360,-0.17,-197954080,-2.23,122538608,1.38
2023-07-10,BK0547,黄金概念,10874.02,0.46,16847936,0.19,-58255824,-0.67,75103760,0.87,-60444384,-0.7000000000000001,43596464,0.5
2023-07-07,BK0547,黄金概念,10824.26,-0.22,-521169952,-5.66,-426970576,-4.64,-94199376,-1.02,82535104,0.9,438634880,4.76
2023-07-06,BK0547,黄金概念,10847.66,-1.09,-701898176,-7.24,-306957344,-3.17,-394940832,-4.07,189736960,1.96,512161232,5.28
2023-07-05,BK0547,黄金概念,10967.59,0.67,239136384,2.1,229486832,2.01,9649552,0.08,-30599120,-0.27,-208537280,-1.83
2023-07-04,BK0547,黄金概念,10894.07,-0.2,-460779696,-4.94,-181983104,-1.95,-278796592,-2.99,-23655776,-0.25,484435456,5.2
2023-07-03,BK0547,黄金概念,10915.93,1.15,389433360,3.5,305907456,2.75,83525904,0.75,-61451664,-0.55,-327981696,-2.95
2023-06-30,BK0547,黄金概念,10792.22,1.5,4468928,0.06,15741152,0.21,-11272224,-0.15,-84067184,-1.1,79598272,1.04
2023-06-29,BK0547,黄金概念,10633.24,0.18,-349800944,-4.95,-288523120,-4.08,-61277824,-0.87,151895360,2.15,197905584,2.8
2023-06-28,BK0547,黄金概念,10614.44,-0.12,-344107728,-4.27,-272266400,-3.38,-71841328,-0.89,73811744,0.92,270295984,3.35
2023-06-27,BK0547,黄金概念,10626.96,2.38,-32376480,-0.38,61647584,0.72,-94024064,-1.09,65713984,0.77,-33337488,-0.39
2023-06-26,BK0547,黄金概念,10379.51,-1.06,-426751968,-5.04,-265867248,-3.14,-160884720,-1.9,63903472,0.75,362848496,4.28
2023-06-21,BK0547,黄金概念,10490.93,-1.63,-590282576,-7.39,-285614464,-3.58,-304668112,-3.82,94512432,1.18,495770144,6.21
2023-06-20,BK0547,黄金概念,10664.89,-0.5,-442670432,-5.5600000000000005,-249974560,-3.14,-192695872,-2.42,279224768,3.51,163445664,2.05
2023-06-19,BK0547,黄金概念,10718.41,-1.38,-846858416,-8.37,-476550272,-4.71,-370308144,-3.66,217658032,2.15,629200368,6.22
2023-06-16,BK0547,黄金概念,10868.17,0.26,-263137872,-2.58,-102998528,-1.01,-160139344,-1.57,-112048672,-1.1,375186544,3.67
