日期,概念名称,净流入
2023-07-14,茅指数,35亿
2023-07-14,白酒,14亿
2023-07-14,宁组合,13亿
2023-07-14,WiFi,13亿
2023-07-14,屏下摄像,11亿
2023-07-14,6G概念,9亿
2023-07-14,深证100R,9亿
2023-07-14,MicroLED,8亿
2023-07-14,电子纸概念,8亿
2023-07-14,百元股,8亿
2023-07-14,超清视频,8亿
2023-07-14,eSIM,7亿
2023-07-14,IPv6,7亿
2023-07-14,商汤概念,6亿
2023-07-14,气溶胶检测,5亿
2023-07-14,裸眼3D,5亿
2023-07-14,麒麟电池,5亿
2023-07-14,数据确权,3亿
2023-07-14,上证50_,3亿
2023-07-14,黄金概念,2亿
2023-07-14,地塞米松,1亿
2023-07-14,Chiplet概念,1亿
2023-07-14,PVDF概念,1亿
2023-07-14,电子烟,1亿
2023-07-14,混合现实,1亿
2023-07-14,快递概念,8806万
2023-07-14,精准医疗,7002万
2023-07-14,超级真菌,5179万
2023-07-14,数字阅读,5087万
2023-07-14,存储芯片,3585万
2023-07-14,京东金融,2868万
2023-07-14,智能穿戴,2409万
