代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK0447,互联网服务,22555.48,2.4,3178970624,4.21,2938746624,3.89,240224000,0.32,-1584953344,-2.1,-1594691072,-2.11
BK0737,软件开发,930.78,2.16,2176800000,3.26,2589766144,3.87,-412966144,-0.62,-1040643072,-1.56,-1147762688,-1.72
BK0735,计算机设备,1047.13,1.6,1605856256,5.07,1770965248,5.59,-165108992,-0.52,-719244032,-2.27,-887177472,-2.8
BK0425,工程建设,21054.29,1.8399999999999999,1365175968,7.54,669491296,3.7,695684672,3.84,-362961408,-2.01,-1002006016,-5.54
BK1037,消费电子,1116.93,1.24,1153865328,4.22,1346836336,4.93,-192971008,-0.71,-548898048,-2.01,-602149376,-2.2
BK0477,酿酒行业,64570.07,0.42,1074825696,4.45,982931424,4.07,91894272,0.38,-1276122624,-5.28,201296640,0.8300000000000001
BK1046,游戏,1547.81,1.83,1035845104,3.66,762210288,2.69,273634816,0.97,-505769728,-1.79,-530075136,-1.87
BK0448,通信设备,12179.72,2.58,892708608,1.31,624875776,0.91,267832832,0.39,-469974016,-0.6900000000000001,-420673024,-0.62
BK0459,电子元件,18924.85,1.13,444318384,1.4100000000000001,523370672,1.6600000000000001,-79052288,-0.25,-320343296,-1.01,-125620224,-0.4
BK0729,船舶制造,874.66,3.51,302267504,2.64,334602000,2.93,-32334496,-0.28,-305234192,-2.67,2966688,0.03
BK0738,多元金融,519.69,0.96,203027968,4.31,157660992,3.35,45366976,0.96,-23505648,-0.5,-179522336,-3.81
BK1020,非金属材料,1016.8,0.68,170654400,3.5300000000000002,312928624,6.47,-142274224,-2.94,-44333072,-0.92,-129580608,-2.68
BK0480,航天航空,39167.82,1.72,164641152,2.47,105301872,1.58,59339280,0.89,-63019872,-0.9400000000000001,-104422288,-1.57
BK0420,航空机场,4760.66,1.1,155981604,5.06,121411140,3.94,34570464,1.12,-66490208,-2.16,-89491376,-2.9
BK0726,工程咨询服务,623.27,1.6800000000000002,145378218,3.37,114039466,2.65,31338752,0.73,-40094960,-0.93,-106353200,-2.47
BK0478,有色金属,14032.67,0.43,141178256,1.63,112970432,1.31,28207824,0.33,-26448624,-0.31,-115867808,-1.34
BK1043,专业服务,1020.44,1.37,136808261,6.32,112790421,5.21,24017840,1.11,-61046208,-2.8200000000000003,-75210672,-3.47
BK0471,化纤行业,13037.93,0.4,130680112,3.8200000000000003,153604672,4.49,-22924560,-0.67,-109203520,-3.19,-20592256,-0.6000000000000001
BK0436,纺织服装,10284.63,0.44,117512928,2.01,128101328,2.19,-10588400,-0.18,-121860448,-2.08,4453600,0.08
BK0450,航运港口,8876.53,1.23,107421792,2.77,39899200,1.03,67522592,1.74,41550480,1.07,-148788432,-3.84
BK0465,化学制药,28226.71,0.13,105364224,0.79,-105891792,-0.8,211256016,1.5899999999999999,-43571200,-0.33,-58133248,-0.44
BK0739,工程机械,1103.19,0.9,99259584,1.53,22735920,0.35000000000000003,76523664,1.18,-66172416,-1.02,-32312064,-0.5
BK0470,造纸印刷,8035.45,0.04,96008064,1.87,100784384,1.96,-4776320,-0.09,-57412624,-1.12,-41275584,-0.8
BK0476,装修建材,13478.08,0.18,80929728,1.3599999999999999,40870512,0.6900000000000001,40059216,0.67,7161488,0.12,-88091248,-1.48
BK1031,光伏设备,1718.73,2.15,72884992,0.19,281036032,0.74,-208151040,-0.55,73112576,0.19,-146428416,-0.38
BK0433,农牧饲渔,13546.78,0.77,69474928,0.84,120274768,1.45,-50799840,-0.61,-77577840,-0.9400000000000001,7229216,0.09
BK1035,美容护理,849.5,-0.09,60278883,1.82,8541523,0.26,51737360,1.56,-111424,0.0,-60167456,-1.82
BK0474,保险,1103.33,0.21,44029808,0.9,12313632,0.25,31716176,0.65,-193892480,-3.9699999999999998,149862672,3.07
BK0424,水泥建材,25314.93,1.0,22897498,0.72,74979562,2.37,-52082064,-1.65,8149760,0.26,-31047280,-0.98
BK0725,装修装饰,436.09,1.03,19599491,0.76,51257715,1.99,-31658224,-1.23,-19820608,-0.77,35088,0.0
BK0479,钢铁行业,6931.06,0.45,10843552,0.27,20517168,0.5,-9673616,-0.24,21517408,0.53,-32477952,-0.8
BK1042,医药商业,1099.7,-0.27,9657201,0.33,-30466847,-1.04,40124048,1.38,86861616,2.98,-96518816,-3.31
BK1017,采掘行业,1002.97,1.69,8945588,0.48,29430036,1.57,-20484448,-1.09,11861792,0.63,-20807376,-1.11
BK0429,交运设备,7785.29,0.64,6240816,0.12,-58154048,-1.08,64394864,1.19,30249616,0.56,-36501456,-0.68
BK0730,农药兽药,1039.79,0.11,4761456,0.25,-2301392,-0.12,7062848,0.36,22917824,1.18,-27320960,-1.4100000000000001
BK1044,生物制品,862.28,0.41000000000000003,-187456,0.0,-34138912,-0.42,33951456,0.42,11930192,0.15,-12017872,-0.15
BK0484,贸易行业,8487.14,0.74,-14721392,-0.27,71599456,1.31,-86320848,-1.57,-48600112,-0.89,63126256,1.15
BK0454,塑料制品,10320.6,0.29,-16070672,-0.37,-17719712,-0.4,1649040,0.04,15141872,0.34,359648,0.01
BK1018,橡胶制品,1023.79,0.27,-16896447,-0.53,-20460031,-0.64,3563584,0.11,-24721792,-0.77,41841120,1.31
BK0731,化肥行业,1204.56,0.49,-18792902,-0.88,-16170886,-0.76,-2622016,-0.12,-12189008,-0.5700000000000001,30981920,1.45
BK1016,汽车服务,1025.54,-0.51,-19753860,-0.86,-23519284,-1.03,3765424,0.16,-38643632,-1.69,58200304,2.54
BK0546,玻璃玻纤,36858.06,0.96,-24239156,-0.8200000000000001,-41874740,-1.4100000000000001,17635584,0.6000000000000001,39221888,1.32,-15067392,-0.51
BK0734,珠宝首饰,417.74,0.27,-29788133,-3.76,-8100008,-1.02,-21688125,-2.74,11436609,1.44,18351520,2.32
BK0427,公用事业,7585.3,0.46,-30490602,-1.94,-27035194,-1.72,-3455408,-0.22,-2506752,-0.16,32997344,2.1
BK0464,石油行业,4893.0,0.9,-35382000,-0.76,-54307152,-1.17,18925152,0.41000000000000003,96219952,2.07,-60837952,-1.31
BK1041,医疗器械,902.06,0.16,-36952832,-0.42,-30309760,-0.34,-6643072,-0.07,126497552,1.43,-90289424,-1.02
BK0733,包装材料,906.24,0.06,-39713632,-2.35,-28224512,-1.67,-11489120,-0.68,33550528,1.98,6180208,0.37
BK1033,电池,1101.86,0.36,-42202448,-0.22,83461552,0.43,-125664000,-0.65,-345676800,-1.8,384843680,2.0
BK0440,家用轻工,34665.63,0.2,-43467889,-2.41,-36554545,-2.03,-6913344,-0.38,47018848,2.61,-3550944,-0.2
BK1028,燃气,1334.16,1.15,-44278185,-2.12,31820423,1.53,-76098608,-3.65,21376016,1.03,22952240,1.1
BK0539,综合行业,8493.31,0.2,-62863770,-3.15,32711798,1.6400000000000001,-95575568,-4.79,8632912,0.43,54230864,2.7199999999999998
BK1034,电源设备,1993.87,1.2,-70075600,-1.2,4464672,0.08,-74540272,-1.28,-1072160,-0.02,71147760,1.22
BK0421,铁路公路,6394.69,-0.26,-75864498,-4.21,-47582754,-2.64,-28281744,-1.57,81045984,4.5,-5181488,-0.29
BK1040,中药,1539.12,0.13,-83852288,-0.72,-80565488,-0.6900000000000001,-3286800,-0.03,-50462336,-0.43,134239856,1.15
BK1039,电子化学品,1422.67,0.31,-89355220,-3.04,-30321572,-1.03,-59033648,-2.01,8196160,0.28,81159056,2.76
BK1030,电机,1632.3,1.37,-90103200,-1.6400000000000001,61313472,1.12,-151416672,-2.76,6425360,0.12,75400128,1.37
BK1019,化学原料,776.48,0.32,-95194480,-1.54,-32832832,-0.53,-62361648,-1.01,-12363824,-0.2,99850720,1.62
BK0728,环保行业,390.3,0.01,-95486049,-1.72,-70733745,-1.28,-24752304,-0.45,170784688,3.09,-75180528,-1.3599999999999999
BK0740,教育,735.99,0.56,-112332928,-2.61,-76271024,-1.77,-36061904,-0.84,4332400,0.1,108000544,2.51
BK0437,煤炭行业,9138.97,0.8200000000000001,-152922048,-2.88,-43505120,-0.8200000000000001,-109416928,-2.06,42593408,0.8,110328656,2.08
BK0422,物流行业,5966.84,0.42,-160020160,-2.74,-138068880,-2.37,-21951280,-0.38,20840576,0.36,139241216,2.39
BK0732,贵金属,917.45,1.08,-169117888,-3.41,-34402848,-0.6900000000000001,-134715040,-2.71,-151990304,-3.06,321108208,6.47
BK0727,医疗服务,1277.26,0.06,-184691872,-1.73,-25681360,-0.24,-159010512,-1.49,-10967712,-0.1,195659584,1.83
BK1032,风电设备,1235.04,1.3900000000000001,-193611988,-4.45,-58112484,-1.34,-135499504,-3.11,-116238176,-2.67,309850160,7.12
BK1038,光学光电子,1200.43,1.3599999999999999,-213626928,-1.1400000000000001,69126352,0.37,-282753280,-1.51,105603072,0.56,107168512,0.5700000000000001
BK0482,商业百货,14730.43,-0.72,-216714944,-2.94,-69500048,-0.9400000000000001,-147214896,-1.99,80479888,1.09,136235072,1.85
BK1045,房地产服务,920.26,-0.23,-232750672,-10.64,-76152864,-3.48,-156597808,-7.16,118794304,5.43,113956368,5.21
BK0451,房地产开发,12378.82,0.21,-238201296,-2.01,32471728,0.27,-270673024,-2.29,158509984,1.34,79691312,0.67
BK0485,旅游酒店,15890.97,0.2,-300988880,-3.64,-67742224,-0.8200000000000001,-233246656,-2.8200000000000003,219310960,2.65,81677920,0.99
BK0456,家电行业,16307.67,-0.11,-304822512,-1.85,-171694304,-1.04,-133128208,-0.81,-59381504,-0.36,363159040,2.21
BK0538,化学制品,21692.63,0.18,-310556528,-2.74,-136017904,-1.2,-174538624,-1.54,-5461968,-0.05,316932144,2.8
BK0438,食品饮料,24410.07,-0.31,-336671024,-3.17,-140010064,-1.32,-196660960,-1.85,4996608,0.05,332451472,3.13
BK1027,小金属,1596.93,0.52,-337675568,-4.91,-219309936,-3.19,-118365632,-1.72,121553936,1.77,216121632,3.14
BK0910,专用设备,2162.03,1.21,-351821488,-1.15,-26972848,-0.09,-324848640,-1.06,103068672,0.34,246434560,0.8
BK1036,半导体,1376.91,0.77,-360929280,-0.76,-217522432,-0.46,-143406848,-0.30000000000000004,-210041600,-0.44,570445056,1.19
BK0458,仪器仪表,12630.72,0.68,-402141952,-4.87,-240149888,-2.91,-161992064,-1.96,206898448,2.5,191070192,2.31
BK0486,文化传媒,10146.25,0.43,-414403072,-0.8200000000000001,172151808,0.34,-586554880,-1.15,-402784256,-0.79,817158400,1.6099999999999999
BK1015,能源金属,599.4,-0.1,-563585728,-6.67,-319064352,-3.7800000000000002,-244521376,-2.89,180763280,2.14,382822432,4.53
BK0473,证券,115397.46,0.22,-566255632,-3.85,-317670048,-2.16,-248585584,-1.69,209073152,1.42,357182320,2.43
BK0475,银行,2829.47,-0.49,-575960048,-4.28,-516851520,-3.84,-59108528,-0.44,397948256,2.96,178011792,1.32
BK0736,通信服务,1023.82,1.17,-710330320,-5.06,-504236992,-3.59,-206093328,-1.47,302915424,2.16,407414912,2.9
BK0457,电网设备,22555.78,0.5,-810066976,-4.0,-312385440,-1.54,-497681536,-2.46,170305280,0.84,640804608,3.17
BK0545,通用设备,26234.09,0.77,-835887520,-3.34,-251914656,-1.01,-583972864,-2.33,213660160,0.85,652859392,2.61
BK0428,电力行业,15748.57,-0.34,-870699104,-5.62,-657417264,-4.24,-213281840,-1.38,366160384,2.36,504538624,3.26
BK1029,汽车整车,1203.09,-0.23,-959608480,-6.74,-623809248,-4.38,-335799232,-2.36,136060736,0.96,823547760,5.78
BK0481,汽车零部件,27467.49,-0.07,-968862672,-3.75,-346372816,-1.34,-622489856,-2.41,-169832192,-0.66,1132887040,4.38
