代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK1031,光伏设备,1753.28,1.28,1698785824,5.77,687741216,2.34,1011044608,3.43,-305090304,-1.04,-1400209920,-4.76
BK0477,酿酒行业,61204.22,0.19,410379504,2.8200000000000003,327120816,2.25,83258688,0.5700000000000001,-58291456,-0.4,-352087968,-2.42
BK0428,电力行业,16741.05,1.78,177086304,0.67,258333792,0.98,-81247488,-0.31,-336070912,-1.27,158984704,0.6000000000000001
BK1046,游戏,1460.48,-0.16,164881680,0.53,629624080,2.03,-464742400,-1.5,-407488256,-1.32,242606592,0.78
BK1030,电机,1716.44,1.18,144087952,2.5,27965088,0.48,116122864,2.01,-13932240,-0.24,-106978464,-1.85
BK0422,物流行业,5864.84,1.27,100978336,1.94,83116720,1.5899999999999999,17861616,0.34,-113782176,-2.18,12740016,0.24
BK0481,汽车零部件,28404.47,1.08,71209424,0.22,532890064,1.6099999999999999,-461680640,-1.4,-261134336,-0.79,203269376,0.62
BK0437,煤炭行业,9299.87,3.19,61780208,0.66,170442752,1.82,-108662544,-1.16,102766160,1.1,-164546352,-1.76
BK1033,电池,1079.5,-0.11,35486144,0.26,-113346736,-0.84,148832880,1.11,-92989952,-0.6900000000000001,49837968,0.37
BK0420,航空机场,4710.55,0.27,23675131,1.16,34631659,1.69,-10956528,-0.54,12257872,0.6000000000000001,-35932992,-1.76
BK0474,保险,1041.78,0.43,18720496,0.58,-23739408,-0.74,42459904,1.33,-92722080,-2.9,74001600,2.31
BK1017,采掘行业,985.02,0.5700000000000001,5864299,0.52,44840036,4.01,-38975737,-3.48,-50913584,-4.55,45049280,4.02
BK1042,医药商业,1091.91,0.01,-14172872,-0.62,-10931288,-0.48,-3241584,-0.14,107123248,4.68,-92950384,-4.06
BK1035,美容护理,832.22,-0.28,-15860162,-0.61,-12299090,-0.47000000000000003,-3561072,-0.14,39859888,1.54,-23999728,-0.93
BK0427,公用事业,7948.64,1.54,-19588161,-0.58,-68998289,-2.03,49410128,1.45,-23566400,-0.6900000000000001,43154560,1.27
BK1028,燃气,1371.18,1.12,-25528387,-0.9500000000000001,16191309,0.6000000000000001,-41719696,-1.55,-49710016,-1.85,75245584,2.8
BK0734,珠宝首饰,420.38,0.62,-25623812,-2.17,-12150497,-1.03,-13473315,-1.1400000000000001,6054032,0.51,19569776,1.65
BK1018,橡胶制品,1015.69,0.18,-30612762,-1.3900000000000001,10430118,0.47000000000000003,-41042880,-1.8599999999999999,-5000464,-0.23,36559632,1.6600000000000001
BK1016,汽车服务,991.71,0.11,-30870292,-1.6600000000000001,-65952516,-3.54,35082224,1.88,-44390912,-2.38,75218544,4.04
BK0739,工程机械,1113.23,0.58,-31859240,-0.81,56941416,1.44,-88800656,-2.25,89948960,2.2800000000000002,-60797280,-1.54
BK0421,铁路公路,6380.89,1.15,-43292406,-2.95,-24671836,-1.6800000000000002,-18620570,-1.27,-27779248,-1.8900000000000001,71071664,4.84
BK0424,水泥建材,24678.35,-0.14,-44251917,-2.42,-3487901,-0.19,-40764016,-2.23,15273856,0.84,28978048,1.5899999999999999
BK1045,房地产服务,890.49,-0.24,-56344077,-5.54,-15268693,-1.5,-41075384,-4.04,-9229536,-0.91,65573616,6.45
BK0730,农药兽药,1037.07,0.17,-62347141,-2.7800000000000002,-11114373,-0.5,-51232768,-2.29,5427120,0.24,59313776,2.65
BK0471,化纤行业,13015.39,0.17,-69085440,-1.44,35528048,0.74,-104613488,-2.17,-96490800,-2.0,163494672,3.4
BK0429,交运设备,7712.9,0.04,-71139694,-1.72,42347842,1.03,-113487536,-2.75,-44972608,-1.09,115804624,2.8
BK0731,化肥行业,1190.91,-0.31,-85350247,-4.14,-49303991,-2.39,-36046256,-1.75,27690096,1.34,57660128,2.8
BK0440,家用轻工,33974.18,-0.41000000000000003,-91141029,-5.01,-15139510,-0.8300000000000001,-76001519,-4.18,-19802688,-1.09,110943712,6.1
BK0725,装修装饰,425.82,-0.52,-92624912,-4.77,-29665904,-1.53,-62959008,-3.24,7777728,0.4,84779312,4.37
BK0546,玻璃玻纤,35970.62,-0.46,-96785066,-5.68,-40978714,-2.41,-55806352,-3.2800000000000002,34865104,2.05,62468000,3.67
BK0464,石油行业,4887.29,0.22,-99150352,-2.7,-140931936,-3.83,41781584,1.1400000000000001,104617584,2.84,-5467216,-0.15
BK1043,专业服务,999.61,-0.07,-110101964,-4.14,-32197500,-1.21,-77904464,-2.93,-21356640,-0.8,131052512,4.93
BK1041,医疗器械,880.17,-0.63,-111521344,-1.31,14597152,0.17,-126118496,-1.48,-54024848,-0.64,162483584,1.9100000000000001
BK0454,塑料制品,10317.16,0.43,-115979507,-2.49,-13541379,-0.29,-102438128,-2.2,9926496,0.21,105431840,2.26
BK0726,工程咨询服务,601.64,-0.36,-123160077,-4.38,-37095613,-1.32,-86064464,-3.06,3862800,0.14,118820576,4.23
BK0476,装修建材,13339.59,0.06,-123474544,-2.07,-49743360,-0.8300000000000001,-73731184,-1.24,-101821248,-1.71,225295792,3.7800000000000002
BK0539,综合行业,8358.15,-0.38,-134320335,-6.44,-44510671,-2.13,-89809664,-4.31,77269680,3.71,57050640,2.74
BK1039,电子化学品,1404.13,-0.53,-142872990,-4.72,-63721886,-2.1,-79151104,-2.61,37093328,1.22,105779664,3.49
BK1032,风电设备,1186.5,-0.21,-149565254,-6.54,-33029734,-1.44,-116535520,-5.1,1625664,0.07,147939584,6.47
BK1029,汽车整车,1221.62,0.04,-153104592,-1.3599999999999999,-156849968,-1.4,3745376,0.03,981824,0.01,152122752,1.35
BK0738,多元金融,501.66,0.05,-158944842,-8.49,-46448186,-2.48,-112496656,-6.01,10055200,0.54,148889648,7.95
BK0475,银行,2769.53,0.1,-165627296,-1.72,-227817520,-2.37,62190224,0.65,110602928,1.15,55024368,0.5700000000000001
BK0482,商业百货,13988.37,-0.15,-166277495,-4.35,-69639383,-1.82,-96638112,-2.5300000000000002,59710896,1.56,106566608,2.79
BK0733,包装材料,897.18,0.16,-167250670,-7.64,-81630750,-3.73,-85619920,-3.91,40473216,1.85,126830176,5.79
BK0479,钢铁行业,6826.73,0.28,-167701888,-5.0,-122740240,-3.66,-44961648,-1.34,50035552,1.49,117671936,3.51
BK0438,食品饮料,23685.5,0.65,-167841136,-2.0,22990816,0.27,-190831952,-2.27,-29307856,-0.35000000000000003,195537376,2.33
BK0732,贵金属,873.09,-1.32,-174234913,-6.42,-107629649,-3.9699999999999998,-66605264,-2.46,-29124768,-1.07,203359680,7.5
BK0450,航运港口,8702.77,0.67,-177586400,-5.07,-101518208,-2.9,-76068192,-2.17,81421376,2.33,95925024,2.74
BK1019,化学原料,762.41,-0.01,-190059377,-4.04,-96825041,-2.06,-93234336,-1.98,2338880,0.05,184622736,3.93
BK0728,环保行业,388.13,0.43,-199615044,-3.54,-129659556,-2.3,-69955488,-1.24,41898448,0.74,157729632,2.8
BK1020,非金属材料,997.51,-0.18,-212766432,-4.86,-44834480,-1.02,-167931952,-3.83,61516656,1.4,155787920,3.56
BK0484,贸易行业,8172.12,-0.52,-218624510,-5.66,-92395342,-2.39,-126229168,-3.27,-90892128,-2.35,309684480,8.02
BK0740,教育,680.88,-2.66,-228999223,-9.38,-105656663,-4.33,-123342560,-5.05,53916464,2.21,175082752,7.17
BK1015,能源金属,570.5,-0.48,-229293792,-5.96,-93075584,-2.42,-136218208,-3.54,-6437152,-0.17,235730944,6.13
BK0433,农牧饲渔,13234.3,0.0,-230677136,-4.68,-107621232,-2.18,-123055904,-2.5,103208736,2.09,127661376,2.59
BK0478,有色金属,13832.8,0.04,-243971632,-3.55,-68543808,-1.0,-175427824,-2.55,63474752,0.92,180937504,2.63
BK1044,生物制品,842.27,-0.19,-245171027,-5.47,-66899843,-1.49,-178271184,-3.98,-33197648,-0.74,280263504,6.26
BK0480,航天航空,40257.01,0.62,-251775600,-3.22,-102928304,-1.32,-148847296,-1.9100000000000001,134558944,1.72,115861056,1.48
BK0458,仪器仪表,12703.67,-0.2,-252770160,-3.7800000000000002,-94301728,-1.4100000000000001,-158468432,-2.37,-9007600,-0.13,251142384,3.76
BK1040,中药,1512.12,0.04,-265716016,-3.37,-44433520,-0.56,-221282496,-2.81,69260848,0.88,194492640,2.47
BK0425,工程建设,20375.48,-0.41000000000000003,-286488048,-2.79,-161324560,-1.57,-125163488,-1.22,-51644784,-0.5,338137136,3.29
BK0436,纺织服装,10173.87,-0.39,-291447714,-6.01,-110015666,-2.27,-181432048,-3.74,-63747152,-1.31,355108336,7.32
BK0538,化学制品,21449.99,-0.17,-309282272,-3.58,-79432224,-0.92,-229850048,-2.66,110354272,1.28,193578128,2.24
BK0736,通信服务,964.54,-1.18,-325653392,-2.96,-56006112,-0.51,-269647280,-2.45,-136869856,-1.24,462523264,4.2
BK0465,化学制药,27404.75,-0.14,-329806192,-3.32,-203705088,-2.05,-126101104,-1.27,44008624,0.44,286307920,2.88
BK1034,电源设备,1960.22,-0.89,-361072078,-7.08,-127549214,-2.5,-233522864,-4.58,40508288,0.79,320563776,6.29
BK0485,旅游酒店,15280.03,-1.27,-378045680,-5.91,-172824720,-2.7,-205220960,-3.21,30559952,0.48,347485712,5.43
BK0470,造纸印刷,7980.44,-0.39,-410200464,-6.87,-183769296,-3.08,-226431168,-3.79,27328544,0.46,385240000,6.45
BK0451,房地产开发,11905.24,-0.31,-422827536,-4.71,-194986288,-2.17,-227841248,-2.54,69629968,0.78,353197568,3.94
BK0457,电网设备,22449.35,0.30000000000000004,-490246400,-3.23,-202422640,-1.33,-287823760,-1.8900000000000001,17473792,0.12,478661120,3.15
BK1027,小金属,1576.48,-0.31,-511142753,-9.44,-265536481,-4.9,-245606272,-4.53,134844432,2.49,376298304,6.95
BK1038,光学光电子,1170.7,-1.42,-574382128,-3.49,-159271424,-0.97,-415110704,-2.52,-145975296,-0.89,720218880,4.37
BK0545,通用设备,26891.97,0.7000000000000001,-636430000,-2.06,-225114032,-0.73,-411315968,-1.33,-55001600,-0.18,685991424,2.22
BK0910,专用设备,2194.46,0.49,-638639392,-1.98,40995040,0.13,-679634432,-2.11,-102693888,-0.32,771682560,2.4
BK0727,医疗服务,1205.17,-1.34,-681209984,-9.67,-271274752,-3.85,-409935232,-5.82,45585600,0.65,635624368,9.02
BK0456,家电行业,16394.62,-0.02,-693953104,-4.11,-247109728,-1.46,-446843376,-2.65,357491968,2.12,336227328,1.99
BK0473,证券,110763.5,0.06,-763148800,-9.59,-379719248,-4.77,-383429552,-4.82,309800048,3.89,453348752,5.7
BK1036,半导体,1301.27,-0.9,-764202496,-1.71,-316091648,-0.71,-448110848,-1.01,-183315968,-0.41000000000000003,946272512,2.12
BK1037,消费电子,1084.11,-1.74,-1088948720,-4.98,-409126128,-1.87,-679822592,-3.11,90063872,0.41000000000000003,997363200,4.5600000000000005
BK0735,计算机设备,987.14,-1.83,-1157040048,-5.97,-940185008,-4.85,-216855040,-1.12,238465280,1.23,918045184,4.74
BK0729,船舶制造,944.42,-0.22,-1180163232,-7.85,-845722528,-5.63,-334440704,-2.23,403837696,2.69,776325392,5.17
BK0459,电子元件,18546.37,-1.2,-1392350160,-4.96,-426398672,-1.52,-965951488,-3.44,128125184,0.46,1261879808,4.49
BK0486,文化传媒,9044.5,-2.0,-1808411888,-5.72,-1114749680,-3.52,-693662208,-2.19,503339776,1.5899999999999999,1304884480,4.12
BK0448,通信设备,11774.27,-1.99,-2752490240,-5.35,-1491495424,-2.9,-1260994816,-2.45,-171650816,-0.33,2926646528,5.69
BK0737,软件开发,864.16,-2.42,-3533920768,-6.24,-1671200512,-2.95,-1862720256,-3.29,550693376,0.97,2975142144,5.25
BK0447,互联网服务,20415.44,-2.9699999999999998,-4025194752,-8.29,-1867333120,-3.84,-2157861632,-4.44,748084480,1.54,3276506368,6.75
