代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sh688563,N航材,63.64,-19.43,418361360,24.79,181107920,10.73,237253440,14.06,23781232,1.4100000000000001,-442142576,-26.2,1689750119,1
sz002292,奥飞娱乐,11.25,9.97,378455046,33.57,422787094,37.51,-44332048,-3.93,-162275624,-14.4,-216179429,-19.18,1689750096,0
sz000980,众泰汽车,4.36,10.1,261205872,8.45,261370800,8.46,-164928,-0.01,-179940080,-5.82,-81265776,-2.63,1689750105,0
sh688610,N埃科,70.34,-4.08,233786013,40.82,86907707,15.17,146878306,25.65,-15476100,-2.7,-218309917,-38.12,1689750120,1
sz002355,兴民智通,6.17,9.98,207556674,27.76,195141893,26.1,12414781,1.6600000000000001,-96495178,-12.91,-111061495,-14.85,1689750081,0
sh688111,金山办公,451.0,4.16,199508112,4.49,353667280,7.97,-154159168,-3.47,-197267120,-4.44,-2240974,-0.05,1689750111,1
sz300170,汉得信息,12.16,6.2,173863752,8.25,105815848,5.02,68047904,3.23,-127065200,-6.03,-46798544,-2.22,1689750063,0
sz001337,四川黄金,34.36,9.99,167991233,23.45,155005827,21.63,12985406,1.81,-60973693,-8.51,-107017541,-14.94,1689750108,0
sh601900,南方传媒,20.35,10.0,160334386,18.81,161419401,18.94,-1085015,-0.13,-108867084,-12.77,-51467314,-6.04,1689750122,1
sz301505,N苏州规,38.99,47.97,152044182,26.53,17677435,3.08,134366747,23.45,128623151,22.45,-280667336,-48.98,1689750090,0
sz002236,大华股份,22.02,0.55,142688052,14.44,15747385,1.5899999999999999,126940667,12.84,-110006969,-11.13,-32681092,-3.31,1689750075,0
sz002271,东方雨虹,27.14,4.18,136020378,10.63,144193626,11.27,-8173248,-0.64,-53670608,-4.19,-82349776,-6.44,1689750072,0
sz002156,通富微电,24.24,2.49,133024128,4.08,-97961024,-3.0,230985152,7.09,4191040,0.13,-137215152,-4.21,1689750090,0
sz002943,宇晶股份,35.77,9.99,127301984,30.93,125692564,30.54,1609420,0.39,-53092539,-12.9,-74209445,-18.03,1689750078,0
sz300458,全志科技,30.33,3.69,117173548,10.99,77355874,7.26,39817674,3.74,-64015360,-6.01,-53158192,-4.99,1689750096,0
sz301315,威士顿,59.04,20.0,115260366,28.71,131191504,32.67,-15931138,-3.9699999999999998,-55486155,-13.82,-59774212,-14.89,1689750102,0
sz002316,亚联发展,5.86,9.94,115219906,42.47,117162785,43.19,-1942879,-0.72,-56525728,-20.84,-58694178,-21.64,1689750111,0
sz301152,天力锂能,49.56,20.0,108832283,24.84,75812333,17.3,33019950,7.54,-32230036,-7.36,-76602248,-17.49,1689750090,0
sz002146,荣盛发展,1.96,10.11,104401705,16.99,120639924,19.63,-16238219,-2.64,-51196888,-8.33,-53204818,-8.66,1689750105,0
sz000681,视觉中国,19.95,6.34,97774170,6.18,52343146,3.31,45431024,2.87,-8301760,-0.52,-89472416,-5.66,1689750078,0
sz002336,人人乐,14.32,9.98,97458812,39.24,114800428,46.22,-17341616,-6.98,-48509701,-19.53,-48949112,-19.71,1689750078,0
sh601688,华泰证券,14.68,0.75,93822538,16.26,67435876,11.69,26386662,4.57,-79853473,-13.84,-13969065,-2.42,1689750106,1
sz300394,天孚通信,106.7,-1.3,92665221,6.06,86906037,5.68,5759184,0.38,-64543248,-4.22,-28121968,-1.8399999999999999,1689750090,0
sz300475,香农芯创,44.44,0.86,90117760,3.69,729008,0.03,89388752,3.66,-126104368,-5.16,35986608,1.47,1689750087,0
sz002362,汉王科技,25.56,8.08,83614377,12.58,65874176,9.91,17740201,2.67,-35612198,-5.36,-48002179,-7.22,1689750120,0
sz000002,万  科Ａ,13.9,1.46,81919244,7.69,119799209,11.25,-37879965,-3.56,-80301040,-7.54,-1618202,-0.15,1689750087,0
sh601949,中国出版,12.05,7.59,79782095,7.0,64451232,5.65,15330863,1.34,-7844704,-0.6900000000000001,-71937392,-6.31,1689750122,1
