代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz301528,多浦乐,128.21,78.57%,77.57%,851000000.0,777000000.0,74539600.0,1628000000.0
sz301469,恒达新材,59.89,24.05%,88.06%,787000000.0,595000000.0,192000000.0,1382000000.0
sh688671,碧兴物联,67.3,20.01%,63.44%,320000000.0,316000000.0,3796400.0,636000000.0
sz300875,捷强装备,51.54,20.00%,42.77%,459000000.0,505000000.0,45966899.99999999,963000000.0000001
sz300958,建工修复,26.16,20.00%,39.34%,387000000.0,353000000.0,34605800.0,740000000.0
sz300295,三六五网,18.6,20.00%,32.63%,103000000.0,910000000.0,807000000.0,1014000000.0
sz300948,冠中生态,22.03,19.99%,40.54%,256999999.99999997,335000000.0,78621700.0,592000000.0
sz301136,招标股份,18.97,19.99%,47.22%,308000000.0,582000000.0,274000000.0,890000000.0
sz300172,中电环保,9.32,19.95%,44.73%,1081000000.0,936999999.9999999,144000000.0,2023000000.0
sh688629,华丰科技,20.92,19.82%,37.06%,193000000.0,222000000.00000003,28805300.000000004,415000000.00000006
sz300169,天晟新材,11.33,19.51%,50.54%,412000000.0,1295000000.0,882000000.0,1726000000.0000002
sz300355,蒙草生态,4.14,15.00%,20.12%,648000000.0,453000000.0,195000000.0,1101000000.0
sz301233,盛帮股份,47.86,14.83%,41.82%,196000000.0,158000000.0,38191100.0,354000000.0
sh688058,宝兰德,50.28,14.32%,3.50%,55847500.0,40955400.0,14892100.0,96802800.0
sz300688,创业黑马,34.13,13.28%,17.18%,429000000.0,371000000.0,58294600.0,799000000.0
sh688776,国光电气,72.29,13.22%,6.78%,76770400.0,86954900.0,10184500.0,164000000.0
sz301081,严牌股份,12.1,12.14%,23.43%,125000000.0,110000000.00000001,14368599.999999998,235000000.0
sz300155,安居宝,5.74,12.11%,19.28%,211000000.0,150000000.0,60505000.0,365000000.0
sz300417,南华仪器,12.34,11.67%,16.98%,98153500.0,76460500.0,21692900.0,175000000.0
sz301288,清研环境,30.91,11.31%,39.24%,238000000.0,220000000.00000003,18515400.0,458000000.0
sz301372,科净源,87.23,10.84%,58.66%,429000000.0,369000000.0,59564500.0,798000000.0
sh688208,道通科技,28.02,10.84%,4.64%,342000000.0,254000000.0,88321200.00000001,596000000.0
sz300955,嘉亨家化,26.09,10.55%,22.89%,132000000.0,122000000.0,10312700.0,254000000.0
sh688318,财富趋势,157.81,10.45%,22.50%,836999999.9999999,1538000000.0,701000000.0,2374000000.0
sz000961,中南建设,1.93,10.29%,6.92%,250999999.99999997,249000000.00000003,1978899.9999999998,501000000.0
sh600743,华远地产,2.15,10.26%,7.13%,159000000.0,197000000.0,38127100.0,355000000.0
sz300917,特发服务,34.4,10.22%,32.76%,430999999.99999994,587000000.0,156000000.0,1018000000.0
sh600322,天房发展,3.48,10.13%,29.62%,604000000.0,513999999.99999994,90106000.0,1118000000.0
sz002631,德尔未来,5.89,10.09%,3.17%,66776700.0,53390900.0,13385800.0,120000000.0
sz002146,荣盛发展,2.51,10.09%,11.21%,591000000.0,493000000.0,97379900.0,1084000000.0
sz002584,西陇科学,6.88,10.08%,22.47%,360000000.0,282000000.0,78293200.0,642000000.0
sz002310,东方园林,3.06,10.07%,14.63%,624000000.0,533000000.0,90986299.99999999,1157000000.0
sz002314,南山控股,3.83,10.06%,2.62%,53175200.00000001,79557900.0,26382700.0,133000000.0
sz000656,金科股份,1.97,10.06%,12.84%,555000000.0,779000000.0,223000000.0,1334000000.0
sz000798,中水渔业,12.16,10.05%,15.83%,359000000.0,305000000.0,53630200.00000001,664000000.0
sh603025,大豪科技,13.93,10.03%,2.39%,213000000.0,151000000.0,61283900.0,364000000.0
sz000881,中广核技,8.45,10.03%,8.22%,221000000.0,314000000.0,93019300.0,534999999.99999994
sh600684,珠江股份,4.94,10.02%,0.84%,0.0,35224900.0,35224900.0,35224900.0
sz000712,锦龙股份,16.58,10.02%,1.47%,0.0,218000000.00000003,218000000.00000003,218000000.00000003
