代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK1053,低价股,890.35,2.13,1425241600,3.85,1779086080,4.8100000000000005,-353844480,-0.96,-739514112,-2.0,-685727488,-1.85
BK1097,TOPCon电池,959.84,-0.09,313346272,3.99,127736240,1.63,185610032,2.36,71972752,0.92,-385319024,-4.91
BK1010,磷化工,696.23,2.5700000000000003,275156976,3.13,130218192,1.48,144938784,1.65,2674256,0.03,-277831248,-3.16
BK0675,病毒防治,2640.16,0.53,251565632,1.53,143361728,0.87,108203904,0.66,-13002496,-0.08,-237455360,-1.44
BK0986,CAR-T细胞疗法,882.16,0.71,231742656,5.41,185269488,4.32,46473168,1.08,-60835360,-1.42,-170944512,-3.99
BK0943,汽车拆解,959.21,2.88,230853194,10.44,216373290,9.78,14479904,0.65,-117173424,-5.3,-113679760,-5.14
BK0914,医废处理,1126.7,2.1,213323522,7.11,202309186,6.74,11014336,0.37,-95343872,-3.18,-117979648,-3.93
BK0548,生物疫苗,28572.8,0.92,212715456,1.71,89210256,0.72,123505200,0.99,53073408,0.43,-262094144,-2.11
BK0806,精准医疗,1011.95,0.39,205419808,3.12,153181648,2.33,52238160,0.79,18461824,0.28,-223881632,-3.41
BK0899,CRO,1571.35,0.92,199687360,4.04,176315200,3.5700000000000003,23372160,0.47000000000000003,-38072512,-0.77,-161614848,-3.27
BK0547,黄金概念,11295.99,0.66,167060624,1.63,63746464,0.62,103314160,1.01,44130144,0.43,-211190784,-2.05
BK0935,中芯概念,1064.73,-0.55,145917920,1.03,-44378976,-0.31,190296896,1.35,177122816,1.25,-324992928,-2.3
BK1080,新型城镇化,910.8,3.02,140254224,0.7000000000000001,287803920,1.44,-147549696,-0.74,-99037184,-0.5,-41217024,-0.21
BK0679,超导概念,2832.79,0.16,131620635,5.96,130498875,5.91,1121760,0.05,-55845120,-2.5300000000000002,-75775504,-3.43
BK0913,消毒剂,1215.2,0.73,131000032,1.9,-15292688,-0.22,146292720,2.12,-21277392,-0.31,-109722656,-1.5899999999999999
BK0512,化工原料,20445.17,1.19,103053072,0.99,68498976,0.66,34554096,0.33,9074672,0.09,-112127728,-1.08
