,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,医药商业,4739.43,2.76%,13.9,11.05,2.85,31,国科恒泰,19.99%,20.53
1,中药,3549.15,2.57%,51.02,37.32,13.7,73,精华制药,10.05%,10.07
2,贵金属,2087.54,2.06%,17.41,10.93,6.48,11,中润资源,5.75%,4.97
3,化学制药,4651.54,1.28%,64.26,54.59,9.67,154,科源制药,20.00%,33.0
4,传媒,2525.68,1.07%,152.61,163.47,-10.86,133,海看股份,20.01%,36.05
5,医疗服务,15964.0,0.88%,29.53,26.06,3.47,51,金凯生科,24.04%,79.2
6,食品加工制造,5037.18,0.70%,23.68,24.34,-0.66,82,惠发食品,9.95%,9.39
7,农产品加工,4017.78,0.61%,16.75,19.48,-2.73,41,宏辉果蔬,10.04%,6.36
8,饮料制造,4699.69,0.58%,46.32,45.87,0.45,47,威龙股份,10.00%,10.45
9,教育,4603.91,0.48%,5.05,4.74,0.31,19,科德教育,2.00%,11.7
10,化学制品,5367.81,0.48%,47.33,45.31,2.02,222,联创股份,15.48%,9.1
11,养殖业,2682.35,0.44%,11.59,13.77,-2.18,27,*ST天山,8.83%,6.04
12,燃气,1267.55,0.43%,2.27,1.99,0.28,29,中泰股份,2.20%,14.41
13,石油加工贸易,2926.35,0.40%,10.85,7.82,3.03,28,康普顿,4.77%,10.54
14,建筑装饰,3385.6,0.37%,43.7,52.81,-9.11,155,中化岩土,10.00%,3.08
15,煤炭开采加工,2105.37,0.33%,14.6,13.35,1.24,35,美锦能源,5.27%,8.19
16,生物制品,5632.62,0.30%,16.56,17.09,-0.53,55,双成药业,10.05%,7.23
17,小家电,3219.86,0.29%,3.73,4.66,-0.93,26,荣泰健康,5.66%,22.42
18,非金属材料,14240.8,0.26%,2.27,2.56,-0.29,12,凌玮科技,4.22%,33.32
19,纺织制造,1787.95,0.26%,3.21,3.15,0.05,34,*ST新纺,3.79%,2.19
20,景点及旅游,2874.12,0.26%,4.04,4.6,-0.56,21,众信旅游,1.96%,8.32
21,化工合成材料,3939.02,0.17%,16.67,20.54,-3.87,107,瑞华泰,8.25%,24.8
22,环保,3275.8,0.16%,19.89,21.17,-1.28,145,东方园林,9.92%,2.66
23,化学原料,2595.73,0.14%,8.69,10.07,-1.38,58,中毅达,1.91%,12.29
24,包装印刷,3050.46,0.12%,14.05,16.56,-2.52,48,华源控股,9.99%,9.47
25,机场航运,2124.44,0.11%,5.98,5.96,0.02,13,南方航空,0.59%,6.81
26,医疗器械,9804.67,0.06%,31.4,29.5,1.9,126,港通医疗,6.06%,35.35
27,其他社会服务,15177.4,0.01%,5.17,5.72,-0.55,66,零点有数,5.33%,43.7
28,公路铁路运输,1057.5,-0.00%,4.47,4.45,0.03,33,皖通高速,1.72%,10.04
29,油气开采及服务,1136.89,-0.01%,5.8,5.87,-0.07,20,新天然气,4.06%,26.65
30,工业金属,2384.5,-0.04%,34.64,33.15,1.49,60,兴业银锡,3.40%,9.12
31,通用设备,4787.71,-0.04%,26.8,33.24,-6.44,174,致远新能,19.98%,29.84
32,消费电子,5938.23,-0.05%,49.01,50.45,-1.44,99,珠城科技,4.58%,37.46
33,汽车零部件,3913.01,-0.05%,65.13,78.07,-12.94,227,海泰科,20.02%,32.8
34,美容护理,4636.3,-0.08%,7.04,7.56,-0.52,32,科思股份,2.25%,74.64
