代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sz301510,N固高,68.0,466.67,56.0,0.13,86.5,--,246.00,2153000000.0,34449600.0,2343000000.0,3561.66
sh688548,N广钢,13.15,33.23,3.28,0.0,77.84,--,47.62,2736000000.0,243000000.00000003,3198000000.0,54.70
sz300804,广康生化,44.62,20.01,7.44,0.0,56.56,2.23,21.57,405999999.99999994,16983000.0,758000000.0,37.98
sz301408,华人健康,23.63,20.01,3.94,0.0,45.26,1.55,25.29,546000000.0,56346100.0,1331000000.0,80.15
sz301218,华是科技,52.68,20.0,8.78,0.0,48.09,1.28,15.85,1334000000.0,56040500.0,2952000000.0,亏损
sz300380,安硕信息,35.59,19.99,5.93,0.0,30.01,1.02,25.59,1173000000.0,125000000.0,4434000000.0,亏损
sz301113,雅艺科技,34.46,19.99,5.74,0.0,21.34,8.31,19.25,130000000.0,18484500.0,637000000.0,171.05
sz301370,国科恒泰,27.1,17.42,4.02,-0.37,76.62,1.24,25.87,1300000000.0,66249799.99999999,1795000000.0,121.06
sz300905,宝丽迪,19.81,13.13,2.3,-0.15,26.38,22.34,12.79,252000000.0,47855300.0,948000000.0,42.82
sz300937,药易购,39.29,10.68,3.79,-0.03,37.15,2.43,19.58,580000000.0,41111600.0,1614999999.9999998,29.71
sh600829,人民同泰,8.33,10.04,0.76,0.0,4.98,2.01,13.47,227999999.99999997,580000000.0,4830000000.0,15.75
sh603610,麒盛科技,12.5,10.04,1.14,0.0,5.36,13.74,5.99,238000000.0,358000000.0,4481000000.0,18.40
sz002945,华林证券,17.56,10.03,1.6,0.0,3.43,1.50,13.10,1551000000.0,2700000000.0,47412000000.0,188.46
sh600272,开开实业,14.27,10.02,1.3,0.0,21.04,1.21,12.64,458000000.0,160000000.0,2283000000.0,88.50
sh600689,上海三毛,10.54,10.02,0.96,0.0,6.36,2.68,8.66,98063500.0,152000000.0,1604000000.0,198.82
sz002999,天禾股份,8.24,10.01,0.75,0.0,8.79,4.06,9.61,156000000.0,218000000.00000003,1794000000.0000002,61.84
sz001324,长青科技,26.26,10.01,2.39,0.0,6.0,0.36,--,53260600.00000001,33804600.0,888000000.0000001,69.75
sz002229,鸿博股份,41.09,10.01,3.74,0.0,15.4,1.33,1.82,3113000000.0,493000000.0,20264000000.0,亏损
sz001367,海森药业,55.72,10.01,5.07,0.0,32.53,1.32,14.21,292000000.0,16658400.0,927999999.9999999,37.89
sz002907,华森制药,19.02,10.01,1.73,0.0,5.64,0.62,11.97,312000000.0,302000000.0,5748000000.0,65.97
sh601136,首创证券,26.4,10.0,2.4,0.0,57.46,1.12,12.92,3840000000.0,273000000.0,7216000000.0,131.19
sh603190,亚通精工,31.13,10.0,2.83,0.0,16.53,5.0,10.04,149000000.0,30000000.0,934000000.0,17.11
