成交时间,成交价,涨跌幅,价格变动,成交量(手),成交额(元),性质
09:25:01,51.5,-0.06%,-0.18,2,10300,中性盘
09:35:55,51.2,-0.64%,--,0,0,中性盘
09:56:16,50.52,-1.96%,--,2,10104,中性盘
10:16:52,50.25,-2.48%,--,0,0,中性盘
10:57:55,50.49,-2.02%,--,2,10098,中性盘
11:18:19,50.29,-2.41%,-0.01,2,10058,中性盘
13:00:01,50.2,-2.58%,--,10,50200,中性盘
13:19:40,50.29,-2.41%,-0.07,0,1257,卖盘
13:20:13,50.28,-2.43%,-0.01,2,10056,卖盘
13:20:31,50.28,-2.43%,--,2,10056,中性盘
13:20:49,50.29,-2.41%,+0.01,2,10058,买盘
13:21:34,50.28,-2.43%,-0.01,0,1257,卖盘
13:22:13,50.28,-2.43%,--,2,12319,卖盘
13:22:28,50.29,-2.41%,+0.01,2,13830,买盘
13:24:01,50.29,-2.41%,--,4,20116,卖盘
13:24:16,50.33,-2.33%,+0.04,2,10066,买盘
13:25:01,50.36,-2.27%,+0.03,2,10072,买盘
13:26:25,50.38,-2.23%,+0.02,5,25190,买盘
13:26:28,50.4,-2.19%,+0.02,2,10080,买盘
13:26:52,50.38,-2.23%,-0.02,16,80608,卖盘
13:27:01,50.38,-2.23%,--,1,6902,卖盘
13:27:34,50.38,-2.23%,--,7,38440,卖盘
13:29:04,50.39,-2.21%,+0.01,2,10078,买盘
13:33:07,50.4,-2.19%,+0.01,3,15120,买盘
13:36:34,50.4,-2.19%,--,0,0,买盘
13:37:31,50.39,-2.21%,-0.01,9,49886,买盘
13:38:43,50.4,-2.19%,+0.01,2,11088,买盘
13:38:55,50.39,-2.21%,-0.01,2,10078,卖盘
13:39:01,50.4,-2.19%,+0.01,22,110880,买盘
13:39:16,50.4,-2.19%,--,1,8215,买盘
13:39:19,50.41,-2.17%,+0.01,4,20164,买盘
13:39:28,50.4,-2.19%,-0.01,4,22025,卖盘
13:39:31,50.4,-2.19%,--,2,10080,买盘
13:39:34,50.4,-2.19%,--,3,18295,买盘
13:45:01,50.41,-2.17%,--,10,50410,中性盘
13:45:28,50.47,-2.06%,+0.06,2,10094,买盘
13:46:04,50.46,-2.08%,-0.01,3,15138,买盘
13:46:07,50.46,-2.08%,--,2,10092,卖盘
13:46:13,50.46,-2.08%,--,0,252,卖盘
13:46:22,50.46,-2.08%,--,0,0,买盘
13:46:49,50.46,-2.08%,--,0,0,中性盘
13:50:28,50.41,-2.17%,-0.05,3,15123,卖盘
13:53:40,50.4,-2.19%,-0.01,17,87545,卖盘
13:53:43,50.4,-2.19%,--,0,3175,买盘
13:55:19,50.41,-2.17%,+0.01,7,35287,卖盘
13:55:40,50.41,-2.17%,--,0,1865,卖盘
13:55:43,50.4,-2.19%,-0.01,1,5090,卖盘
13:55:58,50.41,-2.17%,+0.01,2,12250,买盘
13:57:37,50.41,-2.17%,--,0,0,买盘
13:58:04,50.47,-2.06%,+0.06,20,100940,买盘
13:58:07,50.39,-2.21%,-0.08,12,65457,卖盘
13:58:25,50.39,-2.21%,--,0,0,买盘
14:03:04,50.37,-2.25%,--,0,0,中性盘
14:23:19,50.33,-2.33%,--,0,0,中性盘
14:42:10,50.33,-2.33%,--,2,12784,中性盘
09:15:00,0.0,-100.00%,--,0,0,中性盘
09:25:01,51.5,-0.06%,+51.5,2,10300,卖盘
09:25:01,51.5,-0.06%,-0.18,2,10300,--
09:30:04,51.32,-0.41%,-0.18,2,10264,卖盘
09:30:10,51.32,-0.41%,--,2,10264,卖盘
09:30:13,51.32,-0.41%,--,8,41056,卖盘
09:30:16,51.32,-0.41%,--,3,15396,买盘
09:30:19,51.32,-0.41%,--,2,11393,卖盘
09:30:22,51.32,-0.41%,--,5,25660,卖盘
09:30:43,51.31,-0.43%,-0.01,1,6003,卖盘
09:31:04,51.45,-0.16%,+0.14,3,15435,买盘
09:31:10,51.21,-0.62%,-0.24,5,25605,卖盘
09:33:28,51.21,-0.62%,--,0,0,卖盘
09:34:04,51.25,-0.54%,+0.04,2,10250,卖盘
09:34:16,51.22,-0.60%,-0.03,0,51,卖盘
09:34:25,51.25,-0.54%,+0.03,7,35875,买盘
09:34:58,51.25,-0.54%,--,11,56375,卖盘
09:35:01,51.22,-0.60%,-0.03,2,10244,卖盘
09:35:10,51.22,-0.60%,--,0,0,卖盘
09:35:13,51.24,-0.56%,+0.02,4,20496,买盘
09:35:22,51.22,-0.60%,-0.02,9,51169,卖盘
09:35:28,51.21,-0.62%,-0.01,5,29855,卖盘
09:35:31,51.2,-0.64%,-0.01,7,35840,卖盘
09:36:55,51.18,-0.68%,-0.02,3,15354,买盘
09:36:58,51.18,-0.68%,--,0,0,买盘
09:37:07,51.22,-0.60%,+0.04,7,35854,买盘
09:37:34,51.22,-0.60%,--,0,0,买盘
09:37:46,51.2,-0.64%,-0.02,9,46797,买盘
09:37:52,51.14,-0.76%,-0.06,5,25570,卖盘
09:38:04,51.15,-0.74%,+0.01,5,25575,买盘
09:38:25,51.14,-0.76%,-0.01,4,22348,卖盘
09:38:34,51.14,-0.76%,--,10,51140,买盘
09:38:37,51.14,-0.76%,--,9,49248,买盘
09:38:46,51.2,-0.64%,+0.06,0,4403,买盘
09:38:49,51.22,-0.60%,+0.02,10,51220,买盘
09:38:55,51.22,-0.60%,--,19,99981,买盘
09:39:01,51.22,-0.60%,--,16,85537,买盘
09:39:07,51.22,-0.60%,--,4,23869,买盘
09:39:10,51.22,-0.60%,--,4,20488,买盘
09:39:19,51.2,-0.64%,-0.02,6,32563,卖盘
09:39:40,51.2,-0.64%,--,0,0,买盘
09:39:46,51.22,-0.60%,+0.02,26,133172,买盘
09:39:52,51.22,-0.60%,--,10,51220,买盘
09:40:04,51.22,-0.60%,--,2,10244,买盘
09:40:07,51.14,-0.76%,-0.08,78,400682,卖盘
09:40:31,51.14,-0.76%,--,0,0,卖盘
09:40:37,51.18,-0.68%,+0.04,1,7268,卖盘
09:40:40,51.18,-0.68%,--,3,15354,卖盘
09:40:43,51.18,-0.68%,--,5,25590,卖盘
09:40:46,51.18,-0.68%,--,4,20472,卖盘
09:40:58,51.15,-0.74%,-0.03,2,10230,卖盘
09:41:01,51.15,-0.74%,--,0,0,卖盘
09:41:10,51.15,-0.74%,--,2,10230,卖盘
09:41:22,51.17,-0.70%,+0.02,5,25585,买盘
09:41:34,51.17,-0.70%,--,0,0,卖盘
09:42:07,51.21,-0.62%,+0.04,7,35847,买盘
09:42:10,51.17,-0.70%,-0.04,7,40782,卖盘
