成交时间,成交价,涨跌幅,价格变动,成交量(手),成交额(元),性质
09:15:03,0.0,-100.00%,--,0,0,中性盘
09:25:03,21.41,-0.09%,--,177,378957,中性盘
09:25:03,21.41,-0.09%,--,177,378957,--
09:30:03,21.41,-0.09%,--,59,126319,买盘
09:30:06,21.41,-0.09%,--,27,57807,买盘
09:30:09,21.5,+0.33%,+0.09,14,30100,买盘
09:30:12,21.5,+0.33%,--,3,6450,卖盘
09:30:15,21.49,+0.28%,-0.01,39,83811,卖盘
09:30:18,21.4,-0.14%,-0.09,160,342400,卖盘
09:30:21,21.46,+0.14%,+0.06,18,38628,买盘
09:30:24,21.41,-0.09%,-0.05,5,10705,买盘
09:30:27,21.49,+0.28%,+0.08,17,36533,买盘
09:30:30,21.5,+0.33%,+0.01,17,36550,买盘
09:30:33,21.51,+0.37%,+0.01,9,19359,买盘
09:30:39,21.45,+0.09%,-0.06,17,36465,中性盘
09:30:42,21.45,+0.09%,--,23,49335,买盘
09:30:45,21.45,+0.09%,--,5,10725,卖盘
09:30:51,21.46,+0.14%,+0.01,6,12876,中性盘
09:30:54,21.47,+0.19%,+0.01,31,66557,中性盘
09:30:57,21.48,+0.23%,+0.01,13,27924,买盘
09:31:00,21.48,+0.23%,--,4,8592,卖盘
09:31:03,21.48,+0.23%,--,2,4296,卖盘
09:31:06,21.48,+0.23%,--,40,85920,卖盘
09:31:09,21.49,+0.28%,+0.01,16,34384,中性盘
09:31:15,21.49,+0.28%,--,20,42980,卖盘
09:31:21,21.5,+0.33%,+0.01,3,6450,中性盘
09:31:24,21.5,+0.33%,--,48,103200,中性盘
09:31:27,21.43,0.00%,-0.07,3,6429,卖盘
09:31:30,21.44,+0.05%,+0.01,20,42880,卖盘
09:31:33,21.45,+0.09%,+0.01,24,51480,中性盘
09:31:36,21.42,-0.05%,-0.03,33,70686,卖盘
09:31:39,21.4,-0.14%,-0.02,20,42800,卖盘
09:31:42,21.4,-0.14%,--,20,42800,卖盘
09:31:45,21.38,-0.23%,-0.02,20,42760,卖盘
09:31:51,21.36,-0.33%,-0.02,16,34176,卖盘
09:31:54,21.39,-0.19%,+0.03,20,42780,买盘
09:31:57,21.35,-0.37%,-0.04,20,42700,卖盘
09:32:00,21.33,-0.47%,-0.02,12,25596,卖盘
09:32:03,21.34,-0.42%,+0.01,3,6402,中性盘
09:32:06,21.33,-0.47%,-0.01,11,23463,卖盘
09:32:09,21.33,-0.47%,--,9,19197,卖盘
09:32:12,21.3,-0.61%,-0.03,9,19170,卖盘
09:32:15,21.3,-0.61%,--,3,6390,卖盘
09:32:18,21.28,-0.70%,-0.02,102,217056,卖盘
09:32:21,21.3,-0.61%,+0.02,11,23430,买盘
09:32:24,21.28,-0.70%,-0.02,101,214928,卖盘
09:32:27,21.28,-0.70%,--,32,68096,卖盘
09:32:27,21.28,-0.70%,--,32,68096,中性盘
09:32:30,21.29,-0.65%,+0.01,17,36193,买盘
09:32:33,21.31,-0.56%,+0.02,62,132122,买盘
09:32:36,21.31,-0.56%,--,4,8524,卖盘
09:32:39,21.31,-0.56%,--,9,19179,卖盘
09:32:42,21.31,-0.56%,--,1,2131,买盘
09:32:45,21.31,-0.56%,--,4,8524,买盘
09:32:48,21.28,-0.70%,-0.03,25,53200,卖盘
09:32:51,21.27,-0.75%,-0.01,66,140382,卖盘
09:32:54,21.27,-0.75%,--,2,4254,卖盘
09:32:57,21.28,-0.70%,+0.01,216,459648,买盘
09:33:00,21.28,-0.70%,--,12,25536,买盘
09:33:03,21.25,-0.84%,-0.03,49,104125,卖盘
09:33:09,21.25,-0.84%,--,13,27625,中性盘
09:33:12,21.3,-0.61%,+0.05,150,319500,买盘
09:33:15,21.32,-0.51%,+0.02,193,411476,买盘
09:33:18,21.32,-0.51%,--,9,19188,卖盘
09:33:33,21.36,-0.33%,+0.04,10,21360,买盘
09:33:36,21.32,-0.51%,-0.04,6,12792,卖盘
09:33:39,21.33,-0.47%,+0.01,1,2133,中性盘
09:33:48,21.33,-0.47%,--,5,10665,中性盘
