成交时间,成交价,涨跌幅,价格变动,成交量(手),成交额(元),性质
15:00:00,52.6,+1.54%,--,0,0,买盘
15:00:00,52.6,+1.54%,-0.01,2377,12504545,卖盘
14:59:57,52.61,+1.56%,--,0,0,买盘
14:57:48,52.61,+1.56%,--,0,0,卖盘
14:57:00,52.61,+1.56%,-0.01,4,21044,卖盘
14:56:57,52.62,+1.58%,--,18,98294,卖盘
14:56:54,52.62,+1.58%,+0.02,66,348187,买盘
14:56:51,52.6,+1.54%,-0.02,55,290615,卖盘
14:56:48,52.62,+1.58%,-0.01,48,252681,卖盘
14:56:45,52.63,+1.60%,-0.01,18,98102,中性盘
14:56:27,52.64,+1.62%,-0.02,26,138970,卖盘
14:56:24,52.66,+1.66%,+0.01,29,154557,买盘
14:56:21,52.65,+1.64%,--,101,534924,卖盘
14:56:18,52.65,+1.64%,-0.02,27,145893,卖盘
14:56:15,52.67,+1.68%,--,8,42136,买盘
14:56:12,52.67,+1.68%,-0.02,252,1328390,卖盘
14:56:09,52.69,+1.72%,--,77,409559,卖盘
14:56:06,52.69,+1.72%,-0.02,19,101955,卖盘
14:56:03,52.71,+1.76%,+0.01,82,435226,买盘
14:56:00,52.7,+1.74%,--,65,342550,卖盘
14:55:57,52.7,+1.74%,--,34,179180,卖盘
14:55:54,52.7,+1.74%,-0.01,18,94913,卖盘
14:55:51,52.71,+1.76%,--,6,31626,买盘
14:55:48,52.71,+1.76%,--,51,271404,卖盘
14:55:45,52.71,+1.76%,--,52,279205,卖盘
14:55:42,52.71,+1.76%,--,41,217271,卖盘
14:55:39,52.71,+1.76%,--,3,17500,卖盘
14:55:36,52.71,+1.76%,--,32,171782,卖盘
14:55:33,52.71,+1.76%,--,27,144373,卖盘
14:55:30,52.71,+1.76%,--,55,294860,卖盘
14:55:27,52.71,+1.76%,--,113,595676,卖盘
14:55:24,52.71,+1.76%,--,110,581760,买盘
14:55:21,52.71,+1.76%,+0.01,16,84336,中性盘
14:55:18,52.7,+1.74%,-0.02,33,176545,卖盘
14:55:15,52.72,+1.78%,+0.01,38,202867,买盘
14:55:12,52.71,+1.76%,-0.01,31,167196,卖盘
14:55:09,52.72,+1.78%,-0.01,32,170760,卖盘
14:55:06,52.73,+1.80%,--,72,380500,卖盘
14:55:03,52.73,+1.80%,-0.01,48,257059,卖盘
14:55:00,52.74,+1.81%,+0.01,45,237330,买盘
14:54:57,52.73,+1.80%,--,27,142371,卖盘
14:54:54,52.73,+1.80%,+0.02,121,640564,买盘
14:54:51,52.71,+1.76%,--,41,219853,卖盘
14:54:48,52.71,+1.76%,--,38,205305,卖盘
14:54:45,52.71,+1.76%,--,33,177580,卖盘
14:54:42,52.71,+1.76%,-0.01,103,547446,卖盘
14:54:39,52.72,+1.78%,+0.01,44,235764,买盘
14:54:36,52.71,+1.76%,--,4,21084,卖盘
14:54:33,52.71,+1.76%,-0.01,25,133831,卖盘
14:54:30,52.72,+1.78%,-0.01,22,116195,卖盘
14:54:27,52.73,+1.80%,--,81,428800,卖盘
14:54:24,52.73,+1.80%,--,21,112789,卖盘
14:54:21,52.73,+1.80%,--,9,47457,卖盘
14:54:18,52.73,+1.80%,--,30,161987,卖盘
14:54:15,52.73,+1.80%,--,42,225157,卖盘
14:54:12,52.73,+1.80%,-0.01,17,89641,卖盘
14:54:09,52.74,+1.81%,+0.01,73,387375,买盘
14:54:06,52.73,+1.80%,-0.01,60,319175,卖盘
14:54:03,52.74,+1.81%,--,12,64870,买盘
14:54:00,52.74,+1.81%,+0.01,14,75946,买盘
14:53:57,52.73,+1.80%,--,25,131825,卖盘
14:53:54,52.73,+1.80%,--,61,322866,买盘
14:53:51,52.73,+1.80%,+0.01,61,325450,买盘
14:53:48,52.72,+1.78%,-0.01,78,416119,卖盘
14:53:45,52.73,+1.80%,+0.01,254,1340344,买盘
14:53:42,52.72,+1.78%,+0.01,3,15816,中性盘
14:53:39,52.71,+1.76%,-0.02,46,245207,卖盘
14:53:36,52.73,+1.80%,--,4,25152,卖盘
14:53:33,52.73,+1.80%,--,71,376387,卖盘
14:53:30,52.73,+1.80%,+0.01,5,26365,卖盘
14:53:27,52.72,+1.78%,+0.01,41,217470,买盘
14:53:24,52.71,+1.76%,--,34,181639,卖盘
14:53:21,52.71,+1.76%,-0.01,107,564313,卖盘
14:53:18,52.72,+1.78%,-0.04,23,124736,卖盘
14:53:15,52.76,+1.85%,+0.04,13,68588,买盘
14:53:12,52.72,+1.78%,--,56,297973,中性盘
14:56:45,52.63,+1.60%,+0.02,18,98102,买盘
14:56:42,52.61,+1.56%,--,7,36827,中性盘
14:56:42,52.61,+1.56%,-0.02,7,36827,卖盘
14:56:39,52.63,+1.60%,+0.01,22,119102,买盘
14:56:36,52.62,+1.58%,--,56,294935,卖盘
14:56:33,52.62,+1.58%,-0.01,20,105240,卖盘
14:56:30,52.63,+1.60%,-0.01,16,89103,卖盘
14:56:12,52.67,+1.68%,--,252,1328390,中性盘
14:53:12,52.72,+1.78%,-0.04,56,297973,卖盘
14:53:09,52.76,+1.85%,+0.01,198,1048130,买盘
14:53:06,52.75,+1.83%,+0.02,118,626776,买盘
14:53:03,52.73,+1.80%,--,160,843680,卖盘
14:53:00,52.73,+1.80%,-0.01,102,542223,中性盘
14:52:57,52.74,+1.81%,+0.01,119,628239,买盘
14:52:54,52.73,+1.80%,--,19,102402,买盘
14:52:51,52.73,+1.80%,-0.02,67,355084,卖盘
14:52:48,52.75,+1.83%,+0.01,20,110459,买盘
14:52:45,52.74,+1.81%,--,22,120036,中性盘
14:54:33,52.71,+1.76%,--,25,133831,卖盘
14:54:33,52.71,+1.76%,--,25,133831,中性盘
14:52:45,52.74,+1.81%,--,22,120036,卖盘
14:52:42,52.74,+1.81%,--,46,245188,卖盘
14:52:39,52.74,+1.81%,+0.01,48,255473,买盘
14:52:36,52.73,+1.80%,--,8,42184,卖盘
14:52:33,52.73,+1.80%,+0.02,42,224103,买盘
14:52:30,52.71,+1.76%,-0.01,42,222173,卖盘
14:52:27,52.72,+1.78%,-0.01,16,88253,卖盘
14:52:24,52.73,+1.80%,--,114,604339,卖盘
14:52:21,52.73,+1.80%,--,41,219884,卖盘
14:52:18,52.73,+1.80%,+0.02,48,254053,买盘
14:52:15,52.71,+1.76%,-0.04,20,109426,卖盘
14:52:12,52.75,+1.83%,+0.03,34,179350,买盘
14:52:09,52.72,+1.78%,--,43,229437,买盘
14:52:06,52.72,+1.78%,-0.01,16,86672,卖盘
14:52:03,52.73,+1.80%,--,20,108044,卖盘
14:52:00,52.73,+1.80%,-0.02,81,427113,卖盘
14:51:57,52.75,+1.83%,-0.02,7,36925,中性盘
14:54:21,52.73,+1.80%,--,9,47457,中性盘
14:54:06,52.73,+1.80%,--,60,319175,中性盘
14:53:51,52.73,+1.80%,--,61,325450,中性盘
14:53:45,52.73,+1.80%,-0.01,254,1340344,中性盘
14:53:30,52.73,+1.80%,--,5,26365,中性盘
14:53:06,52.75,+1.83%,--,118,626776,中性盘
14:53:00,52.73,+1.80%,--,102,542223,中性盘
14:51:57,52.75,+1.83%,-0.01,7,36925,中性盘
14:51:54,52.76,+1.85%,--,23,125727,卖盘
14:51:51,52.76,+1.85%,--,16,88426,卖盘
14:51:48,52.76,+1.85%,--,4,23267,买盘
14:51:45,52.76,+1.85%,+0.03,44,237051,买盘
14:51:42,52.73,+1.80%,-0.01,19,101874,卖盘
14:51:39,52.74,+1.81%,-0.05,0,2004,卖盘
14:51:36,52.79,+1.91%,+0.04,113,597794,买盘
14:51:33,52.75,+1.83%,+0.01,60,320509,中性盘
14:51:30,52.74,+1.81%,--,34,179316,卖盘
14:51:27,52.74,+1.81%,+0.01,82,435052,中性盘
14:51:24,52.73,+1.80%,--,34,179651,卖盘
14:51:21,52.73,+1.80%,--,4,21092,卖盘
14:51:18,52.73,+1.80%,+0.01,37,196525,买盘
14:51:15,52.72,+1.78%,--,18,99114,卖盘
14:51:09,52.72,+1.78%,-0.01,8,43336,卖盘
14:51:06,52.73,+1.80%,-0.03,74,390835,卖盘
14:51:03,52.76,+1.85%,-0.03,14,77715,卖盘
14:51:00,52.79,+1.91%,--,0,1003,卖盘
