wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
N6vqFnBir,https://weibo.cn/comment/N6vqFnBir?uid=7751678845&rl=0#cmtfrm,"转发理由:谁买了？粽叶别丢掉，给我煮汤水喝！  
原始用户: 广西小wu
转发内容: 粽子界的天花板，价格8349元/盒……你卡里的现金能买多少盒？  ",无,,False,无,2023-06-22 19:03,无,228,0,20
N6uRIAegR,https://weibo.cn/comment/N6uRIAegR?uid=7751678845&rl=0#cmtfrm,粽子界的天花板，价格8349元/盒……你卡里的现金能买多少盒？  ,,无,True,无,2023-06-22 17:38,无,720,4,89
N6tr3uDSO,https://weibo.cn/comment/N6tr3uDSO?uid=7751678845&rl=0#cmtfrm,"转发理由:愿逝者安息。🙏🙏🙏  
原始用户: 新华社
转发内容: #宁夏银川一烧烤店发生爆炸事故#【#银川烧烤店爆炸事故31人经抢救无效死亡#】记者从宁夏回族自治区党委获悉，6月21日20时40分许，宁夏回族自治区银川市兴庆区民族南街富洋烧烤店操作间液化石油气（液化气罐）泄漏引发爆炸，造成38人伤亡，其中31人经抢救无效死亡，7人正在全力救治中（危重1人、中度烧...全文 [组图共5张] 原图 ",无,http://ww1.sinaimg.cn/large/001R0E0aly1hf6r5uo5qpj64ao2v4u0y02.jpg http://ww3.sinaimg.cn/large/001R0E0aly1hf6r5vocuij64ao2v4npf02.jpg http://ww4.sinaimg.cn/large/001R0E0aly1hf6r5wloubj64ao2v4npe02.jpg http://ww2.sinaimg.cn/large/001R0E0aly1hf6r5xjo7rj64ao2v47wj02.jpg http://ww1.sinaimg.cn/large/001R0E0aly1hf6r5yk1f0j64ao2v4qv802.jpg,False,无,2023-06-22 13:59,无,1089,11,114
N6qsbkhXO,https://weibo.cn/comment/N6qsbkhXO?uid=7751678845&rl=0#cmtfrm,所有人，早安……端午节吉祥！🙏🙏🙏  ,,无,True,无,2023-06-22 06:24,无,2572,8,459
N6niVlFVb,https://weibo.cn/comment/N6niVlFVb?uid=7751678845&rl=0#cmtfrm,铁1至金4，所有人……今晚点名了，所有在线的老铁点个赞……晚安，明天见！ 🙏 🙏🙏  ,,无,True,无,2023-06-21 22:23,无,3391,3,287
N6lhrjY8v,https://weibo.cn/comment/N6lhrjY8v?uid=7751678845&rl=0#cmtfrm,股市休息四天，这日子叫我如何熬？  原图 ,http://ww3.sinaimg.cn/large/008sBfM9gy1hf5ykzxq4hj30u01ffwp3.jpg,无,True,无,2023-06-21 17:14,无,3623,21,419
N6ldwd4o1,https://weibo.cn/comment/N6ldwd4o1?uid=7751678845&rl=0#cmtfrm,今天北向资金净卖出6.41亿元……洋葱小减。  ,,无,True,无,2023-06-21 17:04,无,3283,5,78
N6kuVtYKn,https://weibo.cn/comment/N6kuVtYKn?uid=7751678845&rl=0#cmtfrm,"转发理由:单单根据技术面判断的话下周大盘指数会破前面的3168点，展开进一步调整.........收到请回复666  
原始用户: 广西小wu
转发内容: 按周线图看本周指数（介于3271.16至3197.90点之间）收在3197.90点；周线组合是吞噬掉了上周（介于3210.71至3276.55点之间）阳线；因此单单根据技术面判断的话下周大盘指数会破前面的3168点，展开进一步调整.........收到请回复666  ",无,,False,无,2023-06-21 15:14,微博网页版,4789,37,633
N6kuznD5j,https://weibo.cn/comment/N6kuznD5j?uid=7751678845&rl=0#cmtfrm,"转发理由:答案是1，选对了吗？  
原始用户: 广西小wu
转发内容: 看收盘：收跌破3200的回复1，看不收破3200的回复2。  ",无,,False,无,2023-06-21 15:13,微博网页版,3219,0,121
N6ku6aIaL,https://weibo.cn/comment/N6ku6aIaL?uid=7751678845&rl=0#cmtfrm,清明节，端午节，中元节，重阳节按礼数来说，适合说：吉祥，安康。而不适合用”快乐，愉快，欢乐”之类的。明白的66  ,,无,True,无,2023-06-21 15:12,微博网页版,2618,12,94
