微博id,微博内容,微博发布时间
N6Ackzw9S,你在觉得空调风太硬，考虑下一套做恒温时，街边依旧有人摆着瓦工的牌牌等生计；你觉得市场太差，考虑下周努力点再赚5%时，有人正在向券商苦苦哀求展期不要强平；你嫌弃馆子的音乐太炒，考虑让乐的烟酒嗓妹子solo，有人正在回味一口牛腩饭而不可得；你嫌孩子总惦记打游戏，打算把他送去数学游学营，...全文 ,2023-06-23 07:12 
N6kou5nit,前妻掌握着最可怕的黑语料，一旦投喂，大模型就坏了。  ,2023-06-21 14:58
N6kn420l1,端午劫安康  原图 ,2023-06-21 14:55
N6ivwnUNF,留着的仓位想着节后再买的，看这跌出翔的鸟样，先买点吧，尽一下多头义务。  ,2023-06-21 10:10
N6hSscS0x,最近几天，不下10个人来讨论一个老问题：L3以及L3+自动驾驶的责任认定问题。不用讨论啊，咱们新交法的指引是驾驶员负主要责任。出了事，先找驾驶员，然后驾驶员再去找主机厂或者其他服务商。呃，这个其实我之前就一直吐槽的。在中国这种鉴定环境下，个人要扳倒主机厂或者服务商，让他认错，太难了。...全文 ,2023-06-21 08:34
N6hCsvl4b,今天是节前最后一个交易日，市场连续震荡了两天，交易量也保持在万亿以上，如果今天再扛住一天，保持交易量和市场活跃度，那么大家都可以有个好心情过节。LPR昨天落地是10个基点，其实作为信号而言，已经够了，更多的宽松需要等海外环境到位。海外资金对近期落地“强刺激”的预期比较大，未免有点落空...全文 ,2023-06-21 07:54
N6b3VlVJp,"转发理由:今天基本都在这三个切换模式内，明天继续观察。  
原始用户: 唐史主任司马迁
转发内容: 我尽量客观地说，尽量少得罪人地说实话。昨天的TMT占比已经极度高了，参照以往的几次调整，这一次的调整也快了。光模块还有多长的疯狗浪我不知道，但当一个光模块企业市值接近或超过一个核心ICT企业的时候，揣着明白装糊涂的人，就很难继续装下去了。你只是做光模块，他一样买通信，但送GPU，即使出...全文 ",2023-06-20 15:13
N6aMakCXU,有些时候，感觉就是和单细胞生物一起炒股。。。。台积电，原来又不是全部不能流，你炒的那些个马甲，是啥？再说了，就算放开，28nm不还是拼工艺拼良率拼成本？这个走法，不像是台积电放开代工，看起来更像是《台湾省义勇军攻陷伪总统府，活捉蔡英文。台积电工委会积极武装护厂，挫败敌特破坏阴谋并...全文 ,2023-06-20 14:29
N6a5d4yrJ,网信出的首批41个应用名单是适用《互联网信息服务深度合成管理规定》第十九调进行批复的。规定原文见连接 网页链接而对合成内容的定义，见截图。从这个公告来看，后续提供合成服务和合成服务的技术支持，都要根据本规定进行备案。可以推测，后续采用备案制的概率大于原来市场预期的审...全文 原图 ,2023-06-20 12:43
N69CreGew,2017年还是啥时候来着，咱们开始喊消费电子向机器人渗透，第二赛道。然后短短5年，汽车已经进入了很顺当的L3+以上发展期。那么从二代机器人开始，汽车链向机器人链迁移，也是必然的。这个过程，可能会持续5年。理论上，这种创新产品，迭代到第四代，就会比较成熟了。成熟的工业用人形机器人，比服务...全文 ,2023-06-20 11:32
N69gurVBE,早盘有点均衡的意思了，但轮动很快，手都敲断了。不参与吧，不赚钱，参与吧，不一定能赚钱，摁葫芦起瓢的。纯粹当为万亿成交做贡献了。今天震荡充分些，明天盘面就稳点，节后预期也好点。  ,2023-06-20 10:38
N68DdAA4m,"转发理由:韭菜敢摁我头教育我，这是什么信号? 查看图片 //@大与:你都看空cpo快半个月了，总的来说到最后肯定是你正确，但是就跟这么多年看空房价的专家一样，不参与泡沫的过程也是被洗劫的过程……  
原始用户: 唐史主任司马迁
转发内容: 我尽量客观地说，尽量少得罪人地说实话。昨天的TMT占比已经极度高了，参照以往的几次调整，这一次的调整也快了。光模块还有多长的疯狗浪我不知道，但当一个光模块企业市值接近或超过一个核心ICT企业的时候，揣着明白装糊涂的人，就很难继续装下去了。你只是做光模块，他一样买通信，但送GPU，即使出...全文 ",2023-06-20 09:02
N68wIh20b,我尽量客观地说，尽量少得罪人地说实话。昨天的TMT占比已经极度高了，参照以往的几次调整，这一次的调整也快了。光模块还有多长的疯狗浪我不知道，但当一个光模块企业市值接近或超过一个核心ICT企业的时候，揣着明白装糊涂的人，就很难继续装下去了。你只是做光模块，他一样买通信，但送GPU，即使出...全文 ,2023-06-20 08:46
N68ekiJsp,"转发理由:转发微博  
原始用户: 中国政府网
转发内容: 【李强同德国工商界代表座谈交流】李强同德国工商界代表座谈交流  原图 ",2023-06-20 08:00
N687GifaX,早上有事要出门一下，就不码长文了。市场正向催化还是比较多的，风险主要在高位博弈带来的震荡，每次节前都这样。同板块高切低对盘面的影响小一些，大切换大轮动带来的冲击大一些。但整体而言，节前震比节后震好。  ,2023-06-20 07:44
N62CwF5GQ,疯狗浪的时候不要听逻辑，因为听逻辑你可能不止是F，可能都是Z-plus了。疯狗浪看图就好，尤其成交巨大的大票，图很难骗人的。不要盼他跌，他可能不跌。跌了不要盼他涨，他可能继续跌。服从自己的交易原则，卖飞了不追，没卖就等图说要卖再卖。  ,2023-06-19 17:43
N61gwFzhA,倒计时2天！V+底价8折，现在订阅我的年费，可100%中奖（最高可得6666元）#年中福利盛典#火热进行中，限时8折，[收到]点击领取↓↓↓ 成为TA的V+会员  ,2023-06-19 14:16
N60X9v9ou,缺口也补完了，算力疯狗浪拉差不多，再来一两个板块动动，凑一万亿收工挺好的。  ,2023-06-19 13:29
N60trFPGU,小作文发展到当前阶段，一种有模有样仿效卖方行文风格，甚至直接冠以某个温和的反击力量较小但最近吹票溢价还可以的券商卖方，快速在各个群传播。一种是绝对没人写段子，但口口相传，传了五六道之后，信息主干还是原样。这两种模式，前者是低风险造谣，后者不敢写段子，是因为泄密往往比造谣罪更重...全文 ,2023-06-19 12:16
N5ZEW3w9J,预期是周二周三卷，按A股尿性，果然周一就卷。这样也好，消停几分钟，让上证把技术派关心的缺口补了啊。然后你预期补缺口，就又博弈成，缺口之上就互相卡位。  ,2023-06-19 10:11
N5Z41bFxm,前段时间，有个朋友所在的公司股票被拉升了一段，然后朋友就打电话来问，市场到底怎么看待他们公司，看待他们行业？他说他老板也比较迷茫，就想知道资本市场是短时炒作还是真的看好行业复苏要来了？我琢磨了一达通后，是这么回复的：市场首先是认为你们公司低估了，比较安全，才会去炒。去炒的人里，...全文 ,2023-06-19 08:40
N5YUs8ym4,本周只有三个交易日，目前量已经有逐步恢复的态势，如果这三天能继续保持在万亿级别，那么博弈一点也没啥问题，反正每次节假都是要博弈一下的。外事方面，双方外长会已经出了通稿，都说得很清楚，建议看原文。关键还是看美方能否回到上一次巴厘岛会晤的既定方向上来。总理上任以来第一次出访，参加中...全文 ,2023-06-19 08:17
N5Jfu7atU,高速增长期，就好像一群猴子到了蟠桃园，没有猴子会关心谁吃的桃子大，谁吃的桃子多。即使是一个猴子抢了另一个猴子的桃子，被抢的最多也就是瞪一眼，继续摘别的去，互相折腾耽误事，桃子有的是。中速增长，就好比从蟠桃园回到了花果山，一年下来，只有那么些桃子，堆在山洞当间。谁先拿谁后拿，谁拿...全文 ,2023-06-17 16:24
N5GOE5vGw,乐观主义，未来会是越来越稀缺的品质。如果你遇到一个乐观主义者，请不要着急定义他是个傻逼。往往可能是因为他看到了比你悲观预期还悲观的可能，转而回头支持一些看起来不甚理想的解决方案，并乐见其成。鲁迅的说法是：真的勇士敢于直面惨淡的人生，而不溺死在众人的悲观里。  ,2023-06-17 10:13
N5zhVaWS5,这周还行，五个交易日都没亏钱，就是做得很累。希望再辛苦一两周，市场能进入一个轻松点的阶段。周末愉快  ,2023-06-16 15:03
N5x2MvNbS,"转发理由:对AI和机器人的关联性判断，在盘面反馈是对的。但配的票没有配到市场最兴奋的点。有点类似当年，市场狂炒N型电池时，去看了钙钛矿。还是需要修正到市场均值预期上。  
原始用户: 唐史主任司马迁
转发内容: 最近市场炒了不少科技概念的东西，其实这些东西也不是全虚头巴脑，而是会组成下一个技术生态。比如说单看脑机接口没啥意思，但脑机接口如果+MR，那么现在的面部表情识别和眼球追踪等人体追踪，就会被脑机强赋能，因为脑机高出一个纬度。当脑机+MR后，甚至手势识别都不用了，看官可能觉得这个科幻，实...全文 ",2023-06-16 09:20
